,Date,Bullish,Neutral,Bearish
0,2003-01-02,0.3243,0.2973,0.3784
1,2003-01-09,0.381,0.1905,0.4286
2,2003-01-16,0.2917,0.4167,0.2917
3,2003-01-23,0.25,0.3182,0.4318
4,2003-01-30,0.2553,0.266,0.4787
5,2003-02-06,0.2286,0.5143,0.2571
6,2003-02-13,0.219,0.4,0.381
7,2003-02-20,0.2105,0.2105,0.5789
8,2003-02-27,0.2602,0.2683,0.4715
9,2003-03-06,0.3333,0.2727,0.3939
10,2003-03-13,0.3429,0.1429,0.5143
11,2003-03-20,0.4286,0.1905,0.381
12,2003-03-27,0.3942,0.2788,0.3269
13,2003-04-03,0.3235,0.2941,0.3824
14,2003-04-10,0.3846,0.3077,0.3077
15,2003-04-17,0.463,0.2222,0.3148
16,2003-04-24,0.63,0.18,0.19
17,2003-05-01,0.4857,0.2571,0.2571
18,2003-05-08,0.528,0.288,0.184
19,2003-05-15,0.6279,0.2093,0.1628
20,2003-05-22,0.3846,0.2596,0.3558
21,2003-05-29,0.6286,0.2286,0.1429
22,2003-06-05,0.52,0.288,0.192
23,2003-06-12,0.5,0.2083,0.2917
24,2003-06-19,0.5641,0.0769,0.359
25,2003-06-26,0.7143,0.2,0.0857
26,2003-07-03,0.4118,0.2353,0.3529
27,2003-07-10,0.4324,0.2568,0.3108
28,2003-07-17,0.5126,0.2017,0.2857
29,2003-07-24,0.52,0.1733,0.3067
30,2003-07-31,0.5154,0.3231,0.1615
31,2003-08-07,0.4545,0.2208,0.3247
32,2003-08-14,0.5056,0.2584,0.236
33,2003-08-21,0.6296,0.1852,0.1852
34,2003-08-28,0.567,0.2062,0.2268
35,2003-09-04,0.623,0.2131,0.1639
36,2003-09-11,0.5814,0.2442,0.1744
37,2003-09-18,0.6275,0.1765,0.1961
38,2003-09-25,0.5728,0.2039,0.2233
39,2003-10-02,0.5,0.2143,0.2857
40,2003-10-09,0.5758,0.1919,0.2323
41,2003-10-16,0.6034,0.2586,0.1379
42,2003-10-23,0.5278,0.3056,0.1667
43,2003-10-30,0.5781,0.2344,0.1875
44,2003-11-06,0.5758,0.2576,0.1667
45,2003-11-13,0.5333,0.3222,0.1444
46,2003-11-20,0.5323,0.2581,0.2097
47,2003-11-27,0.6038,0.1887,0.2075
48,2003-12-04,0.6937,0.1622,0.1441
49,2003-12-11,0.5526,0.2368,0.2105
50,2003-12-18,0.602,0.2041,0.1939
51,2003-12-26,0.6552,0.1724,0.1724
52,2004-01-01,0.6241,0.2411,0.1348
53,2004-01-08,0.6716,0.1493,0.1791
54,2004-01-15,0.6629,0.236,0.1011
55,2004-01-22,0.6951,0.1707,0.1341
56,2004-01-29,0.5688,0.2813,0.15
57,2004-02-05,0.5091,0.2727,0.2182
58,2004-02-12,0.561,0.2927,0.1463
59,2004-02-19,0.5645,0.2258,0.2097
60,2004-02-26,0.4158,0.2789,0.3053
61,2004-03-04,0.4783,0.3913,0.1304
62,2004-03-11,0.4129,0.2516,0.3355
63,2004-03-18,0.386,0.3509,0.2632
64,2004-03-25,0.3148,0.2593,0.4259
65,2004-04-01,0.5517,0.2241,0.2241
66,2004-04-08,0.5878,0.2095,0.2027
67,2004-04-15,0.6375,0.225,0.1375
68,2004-04-22,0.5,0.275,0.225
69,2004-04-29,0.5,0.2879,0.2121
70,2004-05-06,0.3898,0.339,0.2712
71,2004-05-13,0.3289,0.2368,0.4342
72,2004-05-20,0.3667,0.2333,0.4
73,2004-05-27,0.3611,0.2361,0.4028
74,2004-06-03,0.3333,0.4048,0.2619
75,2004-06-10,0.5526,0.2895,0.1579
76,2004-06-17,0.4141,0.3047,0.2813
77,2004-06-24,0.5641,0.2051,0.2308
78,2004-07-01,0.5697,0.2727,0.1576
79,2004-07-08,0.551,0.2347,0.2143
80,2004-07-15,0.4737,0.2895,0.2368
81,2004-07-22,0.3571,0.4048,0.2381
82,2004-07-29,0.34,0.3,0.36
83,2004-08-05,0.3099,0.3521,0.338
84,2004-08-12,0.3857,0.2143,0.4
85,2004-08-19,0.3488,0.3023,0.3488
86,2004-08-26,0.4153,0.3305,0.2542
87,2004-09-02,0.4151,0.3019,0.283
88,2004-09-09,0.505,0.2574,0.2376
89,2004-09-16,0.4545,0.2273,0.3182
90,2004-09-23,0.512,0.22,0.268
91,2004-09-30,0.4107,0.1964,0.3929
92,2004-10-07,0.5693,0.2336,0.1971
93,2004-10-14,0.4471,0.2706,0.2824
94,2004-10-21,0.4248,0.2876,0.2876
95,2004-10-28,0.4231,0.2596,0.3173
96,2004-11-04,0.5714,0.2,0.2286
97,2004-11-11,0.625,0.1591,0.2159
98,2004-11-18,0.641,0.1346,0.2244
99,2004-11-24,0.4948,0.2371,0.268
100,2004-12-02,0.5676,0.1784,0.2541
101,2004-12-09,0.5135,0.2342,0.2523
102,2004-12-16,0.5253,0.2828,0.1919
103,2004-12-23,0.6023,0.2159,0.1818
104,2004-12-30,0.5766,0.2482,0.1752
105,2005-01-06,0.381,0.2738,0.3452
106,2005-01-13,0.3399,0.2614,0.3987
107,2005-01-20,0.3366,0.3267,0.3366
108,2005-01-27,0.2643,0.3714,0.3643
109,2005-02-03,0.4167,0.3333,0.25
110,2005-02-10,0.4375,0.3333,0.2292
111,2005-02-17,0.3636,0.3377,0.2987
112,2005-02-24,0.3182,0.3636,0.3182
113,2005-03-03,0.3951,0.3333,0.2716
114,2005-03-10,0.4966,0.255,0.2483
115,2005-03-17,0.3247,0.3506,0.3247
116,2005-03-24,0.2323,0.3484,0.4194
117,2005-03-31,0.2843,0.2059,0.5098
118,2005-04-07,0.2774,0.2839,0.4387
119,2005-04-14,0.1648,0.4176,0.4176
120,2005-04-21,0.3684,0.3026,0.3289
121,2005-04-28,0.2975,0.3554,0.3471
122,2005-05-05,0.2857,0.2653,0.449
123,2005-05-12,0.3052,0.3312,0.3636
124,2005-05-19,0.3892,0.3243,0.2865
