,Date,Bullish,Neutral,Bearish
0,2018-01-04,0.597531,0.246914,0.155556
1,2018-01-11,0.486726,0.262537,0.250737
2,2018-01-18,0.541133,0.244973,0.213894
3,2018-01-25,0.454545,0.305195,0.24026
4,2018-02-01,0.447712,0.264706,0.287582
5,2018-02-08,0.370277,0.279597,0.350126
6,2018-02-15,0.485194,0.300683,0.214123
7,2018-02-22,0.446512,0.325581,0.227907
8,2018-03-01,0.372832,0.393064,0.234104
9,2018-03-08,0.264026,0.452145,0.283828
10,2018-03-15,0.368421,0.418283,0.213296
11,2018-03-22,0.332344,0.382789,0.284866
12,2018-03-29,0.319361,0.327345,0.353293
13,2018-04-05,0.318966,0.314655,0.366379
14,2018-04-12,0.26087,0.311594,0.427536
15,2018-04-19,0.377834,0.329975,0.292191
16,2018-04-26,0.369085,0.375394,0.255521
17,2018-05-03,0.283951,0.41358,0.302469
18,2018-05-10,0.335106,0.409574,0.255319
19,2018-05-17,0.366755,0.427441,0.205805
20,2018-05-24,0.385621,0.362745,0.251634
21,2018-05-31,0.350181,0.386282,0.263538
22,2018-06-07,0.389313,0.343511,0.267176
23,2018-06-14,0.447802,0.335165,0.217033
24,2018-06-21,0.387187,0.350975,0.261838
25,2018-06-28,0.284483,0.307471,0.408046
26,2018-07-05,0.278552,0.328691,0.392758
27,2018-07-12,0.430508,0.277966,0.291525
28,2018-07-19,0.346633,0.40399,0.249377
29,2018-07-26,0.315217,0.415761,0.269022
30,2018-08-02,0.291105,0.38814,0.320755
31,2018-08-09,0.363636,0.326019,0.310345
32,2018-08-16,0.361702,0.347518,0.29078
33,2018-08-23,0.384615,0.344729,0.270655
34,2018-08-30,0.434959,0.321138,0.243902
35,2018-09-06,0.422222,0.314815,0.262963
36,2018-09-13,0.320896,0.350746,0.328358
37,2018-09-20,0.320423,0.359155,0.320423
38,2018-09-27,0.362205,0.326772,0.311024
39,2018-10-04,0.456621,0.292237,0.251142
40,2018-10-11,0.306061,0.339394,0.354545
41,2018-10-18,0.33935,0.310469,0.350181
42,2018-10-25,0.279693,0.310345,0.409962
43,2018-11-01,0.37931,0.275862,0.344828
44,2018-11-08,0.412844,0.275229,0.311927
45,2018-11-15,0.350877,0.289474,0.359649
46,2018-11-22,0.252525,0.276094,0.47138
47,2018-11-29,0.338816,0.266447,0.394737
48,2018-12-06,0.379433,0.315603,0.304965
49,2018-12-13,0.20904,0.30226,0.488701
50,2018-12-20,0.248649,0.278378,0.472973
51,2018-12-27,0.315476,0.181548,0.502976
52,2019-01-03,0.330189,0.242138,0.427673
53,2019-01-10,0.384615,0.321678,0.293706
54,2019-01-17,0.335347,0.302115,0.362538
55,2019-01-24,0.37659,0.300254,0.323155
56,2019-01-31,0.317568,0.364865,0.317568
57,2019-02-07,0.398734,0.373418,0.227848
58,2019-02-14,0.351032,0.39823,0.250737
59,2019-02-21,0.393189,0.352941,0.25387
60,2019-02-28,0.416327,0.383673,0.2
61,2019-03-07,0.37386,0.358663,0.267477
62,2019-03-14,0.324232,0.365188,0.31058
63,2019-03-21,0.373016,0.392857,0.234127
64,2019-03-28,0.332,0.396,0.272
65,2019-04-04,0.350211,0.367089,0.2827
66,2019-04-11,0.402878,0.393285,0.203837
67,2019-04-18,0.375635,0.406091,0.218274
68,2019-04-25,0.335227,0.463068,0.201705
69,2019-05-02,0.390244,0.396341,0.213415
70,2019-05-09,0.431159,0.336957,0.231884
71,2019-05-16,0.298246,0.308772,0.392982
72,2019-05-23,0.247059,0.392157,0.360784
73,2019-05-30,0.247934,0.35124,0.400826
74,2019-06-06,0.225275,0.348901,0.425824
75,2019-06-13,0.268398,0.38961,0.341991
76,2019-06-20,0.295082,0.383607,0.321311
77,2019-06-27,0.29589,0.383562,0.320548
78,2019-07-03,0.331551,0.34492,0.323529
79,2019-07-11,0.336111,0.388889,0.275
80,2019-07-18,0.359296,0.354271,0.286432
81,2019-07-25,0.317416,0.36236,0.320225
82,2019-08-01,0.384375,0.375,0.240625
83,2019-08-08,0.216561,0.301486,0.481953
84,2019-08-15,0.23176,0.319742,0.448498
85,2019-08-22,0.266355,0.336449,0.397196
86,2019-08-29,0.261307,0.316583,0.422111
87,2019-09-05,0.28642,0.318519,0.395062
88,2019-09-12,0.33125,0.35625,0.3125
89,2019-09-19,0.353383,0.368421,0.278195
90,2019-09-26,0.293737,0.37365,0.332613
91,2019-10-03,0.21374,0.391858,0.394402
92,2019-10-10,0.203085,0.357326,0.439589
93,2019-10-17,0.336182,0.353276,0.310541
94,2019-10-24,0.356021,0.361257,0.282723
95,2019-10-31,0.339759,0.375904,0.284337
96,2019-11-07,0.403023,0.357683,0.239295
97,2019-11-14,0.407229,0.344578,0.248193
98,2019-11-21,0.342432,0.367246,0.290323
99,2019-11-29,0.336391,0.360856,0.302752
100,2019-12-05,0.317152,0.391586,0.291262
101,2019-12-12,0.376316,0.363158,0.260526
102,2019-12-19,0.440945,0.354331,0.204724
103,2019-12-26,0.418879,0.365782,0.215339
