Date,Bullish,Neutral,Bearish
2003-01-02,0.3243,0.2973,0.3784
2003-01-09,0.381,0.1905,0.4286
2003-01-16,0.2917,0.4167,0.2917
2003-01-23,0.25,0.3182,0.4318
2003-01-30,0.2553,0.266,0.4787
2003-02-06,0.2286,0.5143,0.2571
2003-02-13,0.219,0.4,0.381
2003-02-20,0.2105,0.2105,0.5789
2003-02-27,0.2602,0.2683,0.4715
2003-03-06,0.3333,0.2727,0.3939
2003-03-13,0.3429,0.1429,0.5143
2003-03-20,0.4286,0.1905,0.381
2003-03-27,0.3942,0.2788,0.3269
2003-04-03,0.3235,0.2941,0.3824
2003-04-10,0.3846,0.3077,0.3077
2003-04-17,0.463,0.2222,0.3148
2003-04-24,0.63,0.18,0.19
2003-05-01,0.4857,0.2571,0.2571
2003-05-08,0.528,0.288,0.184
2003-05-15,0.6279,0.2093,0.1628
2003-05-22,0.3846,0.2596,0.3558
2003-05-29,0.6286,0.2286,0.1429
2003-06-05,0.52,0.288,0.192
2003-06-12,0.5,0.2083,0.2917
2003-06-19,0.5641,0.0769,0.359
2003-06-26,0.7143,0.2,0.0857
2003-07-03,0.4118,0.2353,0.3529
2003-07-10,0.4324,0.2568,0.3108
2003-07-17,0.5126,0.2017,0.2857
2003-07-24,0.52,0.1733,0.3067
2003-07-31,0.5154,0.3231,0.1615
2003-08-07,0.4545,0.2208,0.3247
2003-08-14,0.5056,0.2584,0.236
2003-08-21,0.6296,0.1852,0.1852
2003-08-28,0.567,0.2062,0.2268
2003-09-04,0.623,0.2131,0.1639
2003-09-11,0.5814,0.2442,0.1744
2003-09-18,0.6275,0.1765,0.1961
2003-09-25,0.5728,0.2039,0.2233
2003-10-02,0.5,0.2143,0.2857
2003-10-09,0.5758,0.1919,0.2323
2003-10-16,0.6034,0.2586,0.1379
2003-10-23,0.5278,0.3056,0.1667
2003-10-30,0.5781,0.2344,0.1875
2003-11-06,0.5758,0.2576,0.1667
2003-11-13,0.5333,0.3222,0.1444
2003-11-20,0.5323,0.2581,0.2097
2003-11-27,0.6038,0.1887,0.2075
2003-12-04,0.6937,0.1622,0.1441
2003-12-11,0.5526,0.2368,0.2105
2003-12-18,0.602,0.2041,0.1939
2003-12-26,0.6552,0.1724,0.1724
2004-01-01,0.6241,0.2411,0.1348
2004-01-08,0.6716,0.1493,0.1791
2004-01-15,0.6629,0.236,0.1011
2004-01-22,0.6951,0.1707,0.1341
2004-01-29,0.5688,0.2813,0.15
2004-02-05,0.5091,0.2727,0.2182
