Date,Open,High,Low,Close,Volume
2003-03-12,799.89,804.19,788.9,804.19,162000000
2003-03-13,806.48,832.02,806.48,831.9,181630000
2003-03-14,831.89,841.39,828.26,833.27,154190000
2003-03-17,832.09,862.79,827.17,862.79,170042000
2003-03-18,862.78,866.94,857.36,866.45,155510000
2003-03-19,865.85,874.99,861.21,874.02,147340000
2003-03-20,872.8,879.6,859.01,875.84,143910000
2003-03-21,879.12,895.89,877.65,895.89,188371008
2003-03-24,890.91,890.91,862.02,864.23,129300000
2003-03-25,864.89,879.87,862.59,874.74,133340000
2003-03-26,874.54,875.8,866.47,869.95,131970000
2003-03-27,868.56,874.15,858.09,868.52,123290000
2003-03-28,866.71,869.88,860.83,863.5,122700000
2003-03-31,863.18,863.18,843.68,848.18,149550000
2003-04-01,849.05,861.28,847.85,858.48,146160000
2003-04-02,858.48,884.57,858.48,880.9,158980000
2003-04-03,882.07,885.89,876.12,876.45,133950000
2003-04-04,877.06,882.73,874.23,878.85,124120000
2003-04-07,884.48,904.89,879.78,879.93,149400000
2003-04-08,880.01,883.11,874.68,878.29,123540000
2003-04-09,878.65,887.35,865.72,865.99,129370000
2003-04-10,866.61,871.78,862.76,871.58,127530000
2003-04-11,871.58,883.34,865.92,868.3,114160000
2003-04-14,868.51,885.26,868.51,885.23,113100000
2003-04-15,884.78,891.27,881.85,890.81,146020000
2003-04-16,890.81,896.77,877.93,879.91,158760000
2003-04-17,879.2,893.83,879.2,893.58,143060000
2003-04-21,893.66,898.01,888.17,892.01,111870000
2003-04-22,890.63,911.74,886.7,911.37,163120000
2003-04-23,911.5,919.74,909.89,919.02,166720000
2003-04-24,917.21,917.21,906.69,911.43,164810000
2003-04-25,910.57,911.13,897.52,898.81,133580000
2003-04-28,899.19,918.15,899.19,914.84,127300000
2003-04-29,914.84,924.24,911.1,917.84,152560000
2003-04-30,917.34,922.01,911.7,916.92,178851008
2003-05-01,916.8,919.68,902.83,916.3,139750000
2003-05-02,915.08,930.56,912.35,930.08,155430000
2003-05-05,930.57,933.88,924.55,926.55,144630000
2003-05-06,926.38,939.61,926.38,934.39,164960000
2003-05-07,932.75,937.22,926.41,929.62,153190000
2003-05-08,929.62,929.62,919.72,920.27,137960000
2003-05-09,921.85,933.77,921.85,933.41,132610000
2003-05-12,933.05,946.84,929.3,945.11,137880000
2003-05-13,945.11,947.51,938.91,942.3,141810000
2003-05-14,943.18,947.29,935.24,939.28,140180000
2003-05-15,940.47,948.23,938.79,946.67,150870000
2003-05-16,946.5,948.65,938.6,944.3,150550000
2003-05-19,942.46,942.46,920.23,920.77,137570000
2003-05-20,921.62,925.34,912.05,919.73,150530000
2003-05-21,919.01,923.85,914.91,923.42,145780000
2003-05-22,923.53,935.3,922.54,931.87,144850000
2003-05-23,931.68,935.2,927.42,933.22,120100000
2003-05-27,932.16,952.76,927.33,951.48,153200000
2003-05-28,951.78,959.39,950.12,953.22,155900000
2003-05-29,953.22,962.08,946.23,949.64,168580000
2003-05-30,950.7,965.38,950.7,963.59,168880000
2003-06-02,965.31,979.11,965.31,967,166250000
2003-06-03,967.07,973.02,964.47,971.56,145020000
2003-06-04,971.69,987.85,970.72,986.24,161870000
2003-06-05,983.94,990.14,978.13,990.14,169310000
2003-06-06,990.14,1007.69,986.01,987.76,183720000
2003-06-09,986.82,986.82,972.59,975.93,130700000
2003-06-10,975.93,984.84,975.93,984.84,127540000
2003-06-11,984.84,997.48,981.61,997.48,152000000
2003-06-12,997.48,1002.74,991.27,998.51,155310000
2003-06-13,999.02,1000.92,984.27,988.61,127160000
2003-06-16,988.61,1010.86,988.61,1010.74,134590000
2003-06-17,1011.35,1015.33,1007.04,1011.66,147970000
2003-06-18,1011.14,1015.12,1004.61,1010.09,148890000
2003-06-19,1010.05,1011.22,993.08,994.7,153010000
2003-06-20,996.13,1002.09,993.36,995.69,169800000
2003-06-23,995.25,995.25,977.4,981.64,139810000
2003-06-24,980.68,987.84,979.08,983.45,138830000
2003-06-25,983.58,991.64,974.86,975.32,145920000
2003-06-26,976.42,986.53,973.8,985.82,138740000
2003-06-27,985.82,988.88,974.03,976.22,126780000
2003-06-30,977.35,983.61,973.6,974.5,158720000
2003-07-01,973.83,983.26,962.1,982.32,146020000
2003-07-02,983.34,993.78,983.34,993.75,151930000
2003-07-03,992.55,995,983.34,985.7,37590000
