,sentiment,totalScores,positive,negative
2017-06-20 00:00:00,0.011426923076923076,104,0.81,0.19
2017-06-21 00:00:00,-0.019177531025473548,1531,0.72,0.28
2017-06-22 00:00:00,-0.029588741721854307,1208,0.75,0.25
2017-06-23 00:00:00,-0.023289134615384618,1040,0.74,0.26
2017-06-24 00:00:00,0.03145959595959596,198,0.83,0.17
2017-06-25 00:00:00,-0.008554260089686098,223,0.78,0.22
2017-06-26 00:00:00,-0.022587979724837073,1381,0.73,0.27
2017-06-27 00:00:00,0.0065764089775561104,2005,0.75,0.25
2017-06-28 00:00:00,0.028464123524069025,2202,0.73,0.27
2017-06-29 00:00:00,0.034965941786550686,2989,0.73,0.27
2017-06-30 00:00:00,0.006012613195342821,1546,0.74,0.26
2017-07-01 00:00:00,-0.026922624434389142,221,0.78,0.22
2017-07-02 00:00:00,0.0026407142857142857,280,0.79,0.21
2017-07-03 00:00:00,-0.0061493695441319106,1031,0.74,0.26
2017-07-04 00:00:00,-0.007728502415458938,414,0.81,0.19
2017-07-05 00:00:00,0.001134807073954984,1244,0.75,0.25
2017-07-06 00:00:00,0.0147003125,1920,0.73,0.27
2017-07-07 00:00:00,0.027883630363036302,1515,0.75,0.25
2017-07-08 00:00:00,0.0859021645021645,231,0.82,0.18
2017-07-09 00:00:00,0.07685830721003135,319,0.82,0.18
2017-07-10 00:00:00,0.037762768496420046,1257,0.76,0.24
2017-07-11 00:00:00,-0.005194838343732275,1763,0.74,0.26
2017-07-12 00:00:00,0.053166611751784734,1821,0.79,0.21
2017-07-13 00:00:00,0.03470839073262367,1597,0.76,0.24
2017-07-14 00:00:00,0.05271817288801572,2036,0.76,0.24
2017-07-15 00:00:00,0.01681886120996441,281,0.79,0.21
2017-07-16 00:00:00,-0.0002241758241758242,364,0.76,0.24
2017-07-17 00:00:00,0.051239574090505766,1127,0.77,0.23
2017-07-18 00:00:00,0.031236870503597122,1668,0.75,0.25
2017-07-19 00:00:00,0.08821312499999999,1600,0.8,0.2
2017-07-20 00:00:00,0.026802731929425155,1757,0.77,0.23
2017-07-21 00:00:00,0.008498996415770609,1395,0.74,0.26
2017-07-22 00:00:00,0.03956984732824428,262,0.84,0.16
2017-07-23 00:00:00,0.05777829457364341,258,0.81,0.19
2017-07-24 00:00:00,0.03928452261306532,995,0.79,0.21
2017-07-25 00:00:00,0.038658222591362125,1204,0.79,0.21
2017-07-26 00:00:00,0.018975770609318997,1395,0.78,0.22
2017-07-27 00:00:00,-0.020694065718489457,2039,0.73,0.27
2017-07-28 00:00:00,-0.0028304529201430275,1678,0.74,0.26
2017-07-29 00:00:00,-0.022469198312236285,237,0.79,0.21
2017-07-30 00:00:00,0.03479225,400,0.83,0.17
2017-07-31 00:00:00,-0.0059965877437325905,1436,0.76,0.24
2017-08-01 00:00:00,0.007529019073569483,1468,0.76,0.24
2017-08-02 00:00:00,-0.0027600341102899375,1759,0.73,0.27
2017-08-03 00:00:00,-0.0017591885441527446,1676,0.74,0.26
2017-08-04 00:00:00,0.026188696172248806,1672,0.76,0.24
2017-08-05 00:00:00,-0.022358490566037736,265,0.77,0.23
2017-08-06 00:00:00,0.0826925925925926,270,0.84,0.16
2017-08-07 00:00:00,0.04933676207513416,1118,0.78,0.22
2017-08-08 00:00:00,0.04293151515151515,2475,0.77,0.23
2017-08-09 00:00:00,0.030070321896002828,2827,0.75,0.25
2017-08-10 00:00:00,0.013463681332986201,3841,0.73,0.27
2017-08-11 00:00:00,0.023622175572519083,2620,0.75,0.25
2017-08-12 00:00:00,0.02262929292929293,396,0.83,0.17
2017-08-13 00:00:00,0.061998089171974524,628,0.84,0.16
2017-08-14 00:00:00,0.025936,2075,0.74,0.26
2017-08-15 00:00:00,0.012218284424379233,1772,0.74,0.26
2017-08-16 00:00:00,-0.004014099326599327,2376,0.75,0.25
2017-08-17 00:00:00,-0.03712275862068966,3915,0.7,0.3
2017-08-18 00:00:00,0.015266873940079142,3538,0.73,0.27
2017-08-19 00:00:00,0.0023561538461538464,390,0.8,0.2
2017-08-20 00:00:00,0.03429301948051948,616,0.77,0.23
2017-08-21 00:00:00,0.0578265306122449,2156,0.75,0.25
2017-08-22 00:00:00,0.0852279238095238,2625,0.77,0.23
2017-08-23 00:00:00,-0.010736521491602619,3513,0.74,0.26
2017-08-24 00:00:00,-0.013528231292517007,2940,0.73,0.27
2017-08-25 00:00:00,0.019020646178092987,2538,0.76,0.24
2017-08-26 00:00:00,-0.022069476744186047,344,0.8,0.2
2017-08-27 00:00:00,-0.011024568965517241,464,0.75,0.25
2017-08-28 00:00:00,0.01683044982698962,2601,0.76,0.24
2017-08-29 00:00:00,0.03751640169581347,3774,0.74,0.26
2017-08-30 00:00:00,0.04442147887323943,3124,0.78,0.22
2017-08-31 00:00:00,0.09526171380329253,2369,0.78,0.22
2017-09-01 00:00:00,0.10120914841849149,2055,0.79,0.21
2017-09-02 00:00:00,0.0511608,250,0.81,0.19
2017-09-03 00:00:00,0.033563566634707574,1043,0.79,0.21
2017-09-04 00:00:00,0.005943947655398037,917,0.78,0.22
2017-09-05 00:00:00,0.03202476843910806,2915,0.74,0.26
2017-09-06 00:00:00,0.02348929780033841,2364,0.76,0.24
2017-09-07 00:00:00,0.009743955094991364,2316,0.77,0.23
2017-09-08 00:00:00,0.004937698412698413,2016,0.75,0.25
2017-09-09 00:00:00,0.018992307692307694,234,0.88,0.12
2017-09-10 00:00:00,0.03504858870967742,496,0.82,0.18
2017-09-11 00:00:00,0.06598872143898882,2057,0.77,0.23
2017-09-12 00:00:00,0.012279944444444444,1800,0.73,0.27
2017-09-13 00:00:00,-0.026263423645320198,1624,0.73,0.27
2017-09-14 00:00:00,0.015004152418172935,2047,0.77,0.23
2017-09-15 00:00:00,0.039298650234741786,1704,0.78,0.22
2017-09-16 00:00:00,0.0035379446640316204,253,0.81,0.19
2017-09-17 00:00:00,0.0741265664160401,399,0.82,0.18
2017-09-18 00:00:00,0.041241834743005856,1537,0.75,0.25
2017-09-19 00:00:00,0.033493761581222976,1619,0.78,0.22
2017-09-20 00:00:00,0.008378971193415638,2430,0.75,0.25
2017-09-21 00:00:00,-0.0033050767414403775,1694,0.75,0.25
2017-09-22 00:00:00,-0.01001162566328992,2073,0.72,0.28
2017-09-23 00:00:00,-0.005409433962264151,371,0.82,0.18
2017-09-24 00:00:00,-0.00645050505050505,495,0.79,0.21
2017-09-25 00:00:00,-0.020775180972078595,1934,0.72,0.28
2017-09-26 00:00:00,-0.007819766206163654,1882,0.75,0.25
2017-09-27 00:00:00,0.013060869565217391,2369,0.76,0.24
2017-09-28 00:00:00,0.05455609031491384,1683,0.78,0.22
2017-09-29 00:00:00,0.04336074254412659,1643,0.79,0.21
2017-09-30 00:00:00,0.0012475903614457833,332,0.79,0.21
2017-10-01 00:00:00,0.043120229885057475,435,0.82,0.18
2017-10-02 00:00:00,0.029269375907111757,2067,0.75,0.25
2017-10-03 00:00:00,0.08995767613038906,1902,0.77,0.23
2017-10-04 00:00:00,0.01307432735426009,1784,0.75,0.25
2017-10-05 00:00:00,0.07807253460207612,2312,0.79,0.21
2017-10-06 00:00:00,0.02748696837513631,1834,0.75,0.25
2017-10-07 00:00:00,0.06410550161812298,309,0.83,0.17
2017-10-08 00:00:00,0.05648442822384428,411,0.84,0.16
2017-10-09 00:00:00,0.01690956937799043,1463,0.74,0.26
2017-10-10 00:00:00,0.033969483315392894,1858,0.75,0.25
2017-10-11 00:00:00,0.060307111834962,1842,0.78,0.22
2017-10-12 00:00:00,0.006180734463276836,1770,0.74,0.26
2017-10-13 00:00:00,-0.0012344105326152004,1671,0.75,0.25
2017-10-14 00:00:00,-0.04720965517241379,290,0.78,0.22
2017-10-15 00:00:00,0.012087417218543046,302,0.8,0.2
2017-10-16 00:00:00,-0.009212864622288706,1337,0.73,0.27
2017-10-17 00:00:00,0.01073514450867052,1730,0.75,0.25
2017-10-18 00:00:00,0.017535504070131498,1597,0.75,0.25
2017-10-19 00:00:00,-0.019763721940622737,2762,0.69,0.31
2017-10-20 00:00:00,0.07546241032998566,2091,0.79,0.21
2017-10-21 00:00:00,0.005917538461538462,325,0.82,0.18
2017-10-22 00:00:00,0.07274041994750656,381,0.81,0.19
2017-10-23 00:00:00,-0.022227552204176337,1724,0.72,0.28
2017-10-24 00:00:00,0.009702051835853131,1852,0.76,0.24
2017-10-25 00:00:00,0.022352653213751867,2676,0.72,0.28
