,Disease,Date,V_Close,V_Volume,Index_H/L,Bu/Be,Volatility,Death_H/M/L,Illness_H/M/L,News_H/M/L,Signal
0,EBOLA,2014-03-04,H,L,3,-1.235705032235268,-3.707115096705804,L,L,L,N
1,EBOLA,2014-03-05,L,L,1,0.16320019538700326,0.16320019538700326,L,L,L,N
2,EBOLA,2014-03-06,H,L,3,0.9930941189626452,2.9792823568879356,L,L,L,N
3,EBOLA,2014-03-07,H,L,3,-0.829685808245928,-2.489057424737784,L,L,L,N
4,EBOLA,2014-03-10,L,L,1,0.030993106545618154,0.030993106545618154,L,L,L,N
5,EBOLA,2014-03-11,L,H,2,0.5653186492171169,1.1306372984342339,L,L,L,N
6,EBOLA,2014-03-12,H,H,4,1.4631094912743725,5.85243796509749,L,L,L,N
7,EBOLA,2014-03-13,L,L,1,0.3415391750736019,0.3415391750736019,L,L,L,N
8,EBOLA,2014-03-14,L,H,2,0.6731706776174518,1.3463413552349035,L,L,L,N
9,EBOLA,2014-03-17,H,L,3,-1.0969248190717762,-3.2907744572153286,L,L,L,N
10,EBOLA,2014-03-18,H,H,4,-0.7748435184962266,-3.0993740739849063,L,L,L,N
11,EBOLA,2014-03-19,H,H,4,-1.9369155541615224,-7.74766221664609,L,L,L,N
12,EBOLA,2014-03-20,L,L,1,-0.1795573481007784,-0.1795573481007784,L,L,L,N
13,EBOLA,2014-03-21,L,L,1,0.47708430723381046,0.47708430723381046,L,L,L,N
14,EBOLA,2014-03-24,H,H,4,-1.7825180837353516,-7.130072334941406,L,L,L,N
15,EBOLA,2014-03-25,L,H,2,0.18228245363764994,0.3645649072752999,L,L,L,N
16,EBOLA,2014-03-26,H,L,3,-0.7910766302958061,-2.3732298908874183,L,L,L,N
17,EBOLA,2014-03-27,L,L,1,-0.6538617126589097,-0.6538617126589097,L,L,L,N
18,EBOLA,2014-03-28,L,L,1,-0.024077374559039466,-0.024077374559039466,L,L,L,N
19,EBOLA,2014-03-31,H,H,4,-0.7626822537360689,-3.0507290149442756,L,L,L,N
