,Disease,Date,V_Close,V_Volume,Index_H/L,Bu/Be,Volatility,Death_H/M/L,Illness_H/M/L,News_H/M/L,Signal
0,EBOLA,2014-03-04,H,L,3,-1.5041731771454958,-4.512519531436487,L,L,L,N
1,EBOLA,2014-03-05,L,H,2,0.21417636850895594,0.4283527370179119,L,L,L,N
2,EBOLA,2014-03-06,H,H,4,-0.9849516543871562,-3.9398066175486246,L,L,L,N
3,EBOLA,2014-03-07,L,L,1,-0.628752827116219,-0.628752827116219,L,L,L,N
4,EBOLA,2014-03-10,L,H,2,0.1416583260143378,0.2833166520286756,L,L,L,N
5,EBOLA,2014-03-11,L,L,1,0.26405035586523073,0.26405035586523073,L,L,L,N
6,EBOLA,2014-03-12,H,H,4,0.6960101580135492,2.7840406320541966,L,L,L,N
7,EBOLA,2014-03-13,H,H,4,1.3450420576320177,5.380168230528071,L,L,L,N
8,EBOLA,2014-03-14,L,L,1,0.018430414746539725,0.018430414746539725,L,L,L,N
9,EBOLA,2014-03-17,H,L,3,-0.746404370062792,-2.239213110188376,L,L,L,N
10,EBOLA,2014-03-18,L,H,2,0.362082446960188,0.724164893920376,L,L,L,N
11,EBOLA,2014-03-19,H,H,4,-0.7770545934700168,-3.1082183738800673,L,L,L,N
12,EBOLA,2014-03-20,L,H,2,-0.17714152196268707,-0.35428304392537413,L,L,L,N
13,EBOLA,2014-03-21,H,H,4,1.0834061828710162,4.333624731484065,L,L,L,N
14,EBOLA,2014-03-24,H,L,3,0.7114450509624337,2.134335152887301,L,L,L,N
15,EBOLA,2014-03-25,L,L,1,-0.37615045871559616,-0.37615045871559616,L,L,L,N
16,EBOLA,2014-03-26,H,H,4,0.7827663977444166,3.1310655909776663,L,L,L,N
17,EBOLA,2014-03-27,L,H,2,0.5025548153772874,1.0051096307545748,L,L,L,N
18,EBOLA,2014-03-28,L,H,2,-0.5636830723462771,-1.1273661446925543,L,L,L,N
19,EBOLA,2014-03-31,L,L,1,-0.24687299313688182,-0.24687299313688182,L,L,L,N
