Date,death_H/M/L,illness_H/M/L,news_count_H/M/L
2003-03-18,L,M,H
2003-03-19,H,M,L
2003-03-20,M,M,M
2003-03-21,L,M,M
2003-03-22,M,M,H
2003-03-24,M,M,L
2003-03-25,L,M,M
2003-03-26,H,H,M
2003-03-27,M,M,H
2003-03-28,L,L,L
2003-03-29,L,L,L
2003-03-31,L,L,L
2003-04-01,L,M,M
2003-04-02,M,M,M
2003-04-03,L,L,M
2003-04-04,L,L,L
2003-04-05,L,L,L
2003-04-07,M,M,L
2003-04-08,L,L,M
2003-04-09,L,L,L
2003-04-10,L,L,L
2003-04-11,L,L,M
2003-04-12,L,L,L
2003-04-14,M,M,L
2003-04-15,L,L,L
2003-04-16,L,L,L
2003-04-17,L,L,L
2003-04-18,M,L,L
2003-04-19,L,L,M
2003-04-21,M,M,L
2003-04-22,L,L,L
2003-04-23,M,M,M
2003-04-24,L,L,L
2003-04-25,L,L,L
2003-04-26,L,L,L
2003-04-28,M,L,L
2003-04-29,M,M,M
2003-04-30,L,L,L
2003-05-01,L,L,L
2003-05-02,L,L,L
2003-05-03,L,L,L
2003-05-05,L,M,L
2003-05-06,L,L,L
2003-05-07,L,L,L
2003-05-08,L,L,L
2003-05-09,L,L,L
2003-05-10,L,L,L
2003-05-12,L,L,L
2003-05-13,L,L,L
2003-05-14,L,L,L
2003-05-15,L,L,M
2003-05-16,L,L,L
2003-05-17,L,L,L
2003-05-19,L,L,L
2003-05-20,L,L,L
2003-05-21,L,L,M
2003-05-22,L,L,L
2003-05-23,L,L,M
2003-05-24,L,L,L
2003-05-26,L,L,L
2003-05-27,L,L,L
2003-05-28,L,L,L
2003-05-29,L,L,L
2003-05-30,L,L,M
2003-05-31,L,L,L
2003-06-02,L,L,M
2003-06-04,L,L,L
2003-06-05,L,L,L
2003-06-06,L,L,L
2003-06-09,L,L,L
2003-06-10,L,L,L
2003-06-11,L,L,L
2003-06-12,L,L,L
2003-06-13,L,L,L
2003-06-16,L,L,M
2003-06-17,L,L,H
2003-06-18,L,L,L
2003-06-19,L,L,L
2003-06-20,L,L,L
2003-06-24,L,L,H
2003-06-25,L,L,L
2003-06-26,L,L,M
2003-06-27,L,L,M
2003-06-30,L,L,M
2003-07-01,L,L,M
2003-07-02,L,L,L
2003-07-03,L,L,M
