Date,Open,High,Low,Close,Volume
2009-04-15,839.44,852.93,835.58,852.06,624110016
2009-04-16,854.54,870.35,847.04,865.3,659867008
2009-04-17,865.18,875.63,860.87,869.6,335200960
2009-04-20,868.27,868.27,832.39,832.39,697395968
2009-04-21,831.25,850.09,826.83,850.08,343648960
2009-04-22,847.26,861.78,840.57,843.55,332785984
2009-04-23,844.62,852.87,835.45,851.92,656310016
2009-04-24,853.91,871.8,853.91,866.23,311444000
2009-04-27,862.82,868.83,854.65,857.51,561345984
2009-04-28,854.48,864.48,847.12,855.16,632800000
2009-04-29,856.85,882.06,856.85,873.64,610161984
2009-04-30,876.59,888.7,868.51,872.81,686254016
2009-05-01,872.74,880.48,866.1,877.52,531216992
2009-05-04,879.21,907.85,879.21,907.24,303884000
2009-05-05,906.1,907.7,897.34,903.8,688286016
2009-05-06,903.95,920.28,903.95,919.53,355504000
2009-05-07,919.58,929.58,901.36,907.39,412009984
2009-05-08,909.03,930.17,909.03,929.23,316328000
2009-05-11,913.82,918.72,908.68,909.24,615059968
2009-05-12,910.52,915.57,896.46,908.35,687175040
2009-05-13,905.4,905.4,882.8,883.92,309182016
2009-05-14,884.24,898.36,882.52,893.07,613486976
2009-05-15,892.76,896.97,878.94,882.88,543971968
2009-05-18,886.07,910,886.07,909.71,570214976
2009-05-19,909.67,916.39,905.22,908.13,661627008
2009-05-20,908.62,924.6,901.37,903.47,320505984
2009-05-21,900.42,900.42,879.61,888.33,601984000
2009-05-22,888.68,896.65,883.75,887,515532000
2009-05-26,887,911.76,881.46,910.33,566705024
2009-05-27,909.95,913.84,891.87,893.06,569880000
2009-05-28,892.96,909.45,887.6,906.83,573897984
2009-05-29,907.02,920.02,903.56,919.14,605041984
2009-06-01,923.26,947.77,923.26,942.87,637043968
2009-06-02,942.87,949.38,938.46,944.74,598734016
2009-06-03,942.51,942.51,923.85,931.76,532376992
2009-06-04,932.49,942.47,929.32,942.46,535288992
2009-06-05,945.67,951.69,934.13,940.09,527791008
2009-06-08,938.12,946.33,926.44,939.14,448343008
2009-06-09,940.35,946.92,936.15,942.43,443995008
2009-06-10,942.73,949.77,927.97,939.15,537942016
2009-06-11,939.04,956.23,939.04,944.89,550083968
2009-06-12,943.44,946.3,935.66,946.21,452812000
2009-06-15,942.45,942.45,919.65,923.72,469788000
2009-06-16,925.6,928,911.6,911.97,495120000
2009-06-17,911.89,918.44,903.78,910.71,552364992
2009-06-18,910.86,921.93,907.94,918.37,468400992
2009-06-19,919.96,927.09,915.8,921.23,571339008
2009-06-22,918.13,918.13,893.04,893.04,490393984
2009-06-23,893.46,898.69,888.86,895.1,507102016
2009-06-24,896.31,910.85,896.31,900.94,463672000
2009-06-25,899.45,921.42,896.27,920.26,491124000
2009-06-26,918.84,922,913.03,918.9,607665984
2009-06-29,919.86,927.99,916.18,927.23,421176000
2009-06-30,927.15,930.01,912.86,919.32,462756992
2009-07-01,920.82,931.92,920.82,923.33,391940000
2009-07-02,921.24,921.24,896.42,896.42,393100000
2009-07-06,894.27,898.72,886.36,898.72,471257984
2009-07-07,898.6,898.6,879.93,881.03,467329984
2009-07-08,881.9,886.8,869.32,879.56,572177984
2009-07-09,881.28,887.86,878.45,882.68,434716992
2009-07-10,880.03,883.57,872.81,879.13,391208000
2009-07-13,879.57,901.05,875.32,901.05,449944000
2009-07-14,900.77,905.84,896.5,905.84,414903008
2009-07-15,910.15,933.95,910.15,932.68,523883008
2009-07-16,930.17,943.96,927.45,940.74,489864000
2009-07-17,940.56,941.89,934.65,940.38,514137984
2009-07-20,942.07,951.62,940.99,951.13,485315008
2009-07-21,951.97,956.53,943.22,954.58,530929984
2009-07-22,953.4,959.83,947.75,954.07,463409984
2009-07-23,954.07,979.42,953.27,976.29,576164992
2009-07-24,972.16,979.79,965.95,979.26,445830016
2009-07-27,978.63,982.49,972.29,982.18,463128992
2009-07-28,981.48,982.35,969.35,979.62,549035008
2009-07-29,977.66,977.76,968.65,975.15,517876992
2009-07-30,976.01,996.68,976.01,986.75,603518016
2009-07-31,986.8,993.18,982.85,987.48,513907008
2009-08-03,990.22,1003.61,990.22,1002.63,560344000
2009-08-04,1001.41,1007.12,996.68,1005.65,571369984
2009-08-05,1005.41,1006.64,994.31,1002.72,324212000
2009-08-06,1004.06,1008,992.49,997.08,675337984
2009-08-07,999.83,1018,999.83,1010.48,682708992
2009-08-10,1008.89,1010.12,1000.99,1007.1,540608000
2009-08-11,1005.77,1005.77,992.4,994.35,577315968
2009-08-12,994,1012.78,993.36,1005.81,549817024
2009-08-13,1005.86,1013.14,1000.82,1012.73,525065984
2009-08-14,1012.23,1012.6,994.6,1004.09,494075008
2009-08-17,998.18,998.18,978.51,979.73,408856992
2009-08-18,980.62,991.2,980.62,989.67,419896992
2009-08-19,986.88,999.61,980.62,996.46,425700000
2009-08-20,996.41,1008.92,996.39,1007.37,489316000
2009-08-21,1009.06,1027.59,1009.06,1026.13,588555008
2009-08-24,1026.59,1035.81,1022.48,1025.56,630244992
2009-08-25,1026.63,1037.75,1026.21,1028,576873984
2009-08-26,1027.35,1032.47,1021.57,1028.12,508006016
2009-08-27,1027.81,1033.32,1016.2,1030.98,578588032
2009-08-28,1031.62,1039.47,1023.13,1028.93,578577984
2009-08-31,1025.21,1025.21,1014.62,1020.62,500456000
2009-09-01,1019.52,1028.44,996.28,998.04,686236032
2009-09-02,996.07,1000.34,991.97,994.75,584273024
2009-09-03,996.12,1003.43,992.25,1003.24,462428000
2009-09-04,1003.84,1016.48,1001.65,1016.4,409736992
2009-09-08,1018.67,1026.06,1018.67,1025.39,523516000
2009-09-09,1025.36,1036.34,1023.97,1033.37,520255008
2009-09-10,1032.99,1044.14,1028.04,1044.14,519137984
2009-09-11,1043.92,1048.18,1038.4,1042.73,492260000
2009-09-14,1040.15,1049.74,1035,1049.34,497960992
2009-09-15,1049.03,1056.04,1043.42,1052.63,618561984
2009-09-16,1053.99,1068.76,1052.87,1068.76,679352960
2009-09-17,1067.87,1074.77,1061.19,1065.49,666811008
2009-09-18,1066.6,1071.52,1064.27,1068.3,560796992
2009-09-21,1067.14,1067.28,1057.46,1064.66,461528000
2009-09-22,1066.35,1073.81,1066.35,1071.66,524660000
2009-09-23,1072.68,1080.15,1060.39,1060.87,553193024
2009-09-24,1062.56,1066.29,1045.85,1050.78,550561024
2009-09-25,1049.48,1053.47,1041.17,1044.38,450708992
2009-09-28,1045.38,1065.13,1045.38,1062.98,372695008
2009-09-29,1063.68,1069.62,1057.82,1060.61,494990016
2009-09-30,1061.02,1063.4,1046.47,1057.07,599886016
2009-10-01,1054.91,1054.91,1029.44,1029.85,579145024
2009-10-02,1029.71,1030.6,1019.95,1025.21,558323968
2009-10-05,1026.87,1042.57,1025.92,1040.46,431331008
2009-10-06,1042.02,1060.55,1042.02,1054.72,502984000
2009-10-07,1053.65,1058.02,1050.1,1057.57,423822016
2009-10-08,1060.03,1070.67,1060.03,1065.48,498840000
2009-10-09,1065.28,1071.51,1063,1071.49,376377984
2009-10-12,1071.63,1079.46,1071.63,1076.18,371043008
2009-10-13,1074.96,1075.3,1066.71,1073.18,432048000
2009-10-14,1078.68,1093.17,1078.68,1092.02,540641984
2009-10-15,1090.36,1096.56,1086.41,1096.56,536977984
2009-10-16,1094.67,1094.67,1081.53,1087.68,489473984
2009-10-19,1088.22,1100.17,1086.48,1097.91,461924000
2009-10-20,1098.64,1098.64,1086.16,1091.06,539692992
2009-10-21,1090.36,1101.36,1080.77,1081.4,561628992
2009-10-22,1080.96,1095.21,1074.31,1092.91,519240992
2009-10-23,1095.62,1095.82,1075.49,1079.6,476745984
2009-10-26,1080.36,1091.75,1065.23,1066.94,636337984
2009-10-27,1067.54,1072.48,1060.62,1063.41,533737984
2009-10-28,1061.51,1063.26,1042.18,1042.63,660035008
2009-10-29,1043.68,1066.82,1043.68,1066.11,559504000
2009-10-30,1065.41,1065.41,1033.38,1036.18,651241984
2009-11-02,1036.18,1052.18,1029.38,1042.88,620264000
2009-11-03,1040.92,1046.36,1033.93,1045.41,548750016
2009-11-04,1047.14,1061,1045.15,1046.5,563550976
2009-11-05,1047.3,1066.65,1047.3,1066.63,484835008
2009-11-06,1064.94,1071.48,1059.31,1069.3,427712992
2009-11-09,1072.31,1093.18,1072.31,1093.07,446003008
2009-11-10,1091.86,1096.42,1087.4,1093.01,439476992
2009-11-11,1096.04,1105.37,1093.81,1098.51,428670016
2009-11-12,1098.31,1101.97,1084.9,1087.24,416024992
2009-11-13,1087.59,1097.79,1085.32,1093.48,379260992
2009-11-16,1094.13,1113.68,1094.13,1109.3,456584992
2009-11-17,1109.22,1110.52,1102.18,1110.31,382407008
2009-11-18,1109.43,1111.1,1102.69,1109.8,429334016
2009-11-19,1106.43,1106.43,1088.4,1094.9,417803008
2009-11-20,1094.66,1094.66,1086.81,1091.38,375123008
2009-11-23,1094.86,1112.38,1094.86,1106.24,382792000
2009-11-24,1105.82,1107.56,1097.63,1105.65,370081984
2009-11-25,1106.49,1111.18,1104.75,1110.63,303635008
2009-11-27,1105.47,1105.47,1083.74,1091.49,236291008
2009-11-30,1091.06,1097.24,1086.25,1095.63,389552000
2009-12-01,1098.89,1112.28,1098.89,1108.86,424931008
2009-12-02,1109.03,1115.57,1105.29,1109.24,394134016
2009-12-03,1110.59,1117.28,1098.74,1099.92,481003008
2009-12-04,1100.43,1119.13,1096.52,1105.98,578113984
2009-12-07,1105.52,1110.72,1100.82,1103.25,410336000
2009-12-08,1103.04,1103.04,1088.61,1091.93,474803008
2009-12-09,1091.06,1097.04,1085.89,1095.94,411540992
2009-12-10,1098.68,1106.25,1098.68,1102.35,399648992
2009-12-11,1103.96,1108.5,1101.34,1106.41,379108992
2009-12-14,1107.84,1114.76,1107.84,1114.11,454848992
2009-12-15,1114.11,1114.11,1105.35,1107.93,504510016
2009-12-16,1108.61,1116.21,1107.96,1109.18,482982016
2009-12-17,1106.36,1106.36,1095.88,1096.07,361507040
2009-12-18,1097.86,1103.74,1093.88,1102.47,632588992
2009-12-21,1105.31,1117.68,1105.31,1114.05,397734016
2009-12-22,1114.51,1120.27,1114.51,1118.02,364112992
2009-12-23,1118.84,1121.57,1116,1120.59,316687008
2009-12-24,1121.07,1126.48,1121.07,1126.48,126771000
2009-12-28,1127.53,1130.38,1123.51,1127.78,271640000
2009-12-29,1128.55,1130.38,1126.07,1126.19,249102000
2009-12-30,1125.53,1126.42,1121.93,1126.42,227730000
2009-12-31,1126.6,1127.64,1114.81,1115.1,207699008
2010-01-04,1116.56,1133.87,1116.56,1132.99,399140000
2010-01-05,1132.66,1136.63,1129.66,1136.52,249102000
2010-01-06,1135.71,1139.18,1133.94,1137.14,497265984
2010-01-07,1136.27,1142.46,1131.31,1141.68,527068000
2010-01-08,1140.52,1145.39,1136.22,1144.98,438959008
2010-01-11,1145.96,1149.74,1047.28,1146.98,425577984
2010-01-12,1143.81,1143.81,1131.77,1136.22,471616000
2010-01-13,1137.31,1148.4,1133.18,1145.68,417036000
2010-01-14,1145.68,1150.41,1143.8,1148.46,391520000
2010-01-15,1147.72,1147.77,1131.39,1136.03,475872992
2010-01-19,1136.03,1150.44,1135.77,1150.23,472483008
2010-01-20,1147.94,1147.94,1129.25,1138.04,481056000
2010-01-21,1138.68,1141.57,1114.84,1116.48,687428992
2010-01-22,1115.49,1115.49,1090.18,1091.76,620865024
2010-01-25,1092.4,1102.97,1092.4,1096.78,448139008
2010-01-26,1095.8,1103.68,1089.86,1092.17,473191008
2010-01-27,1091.93,1099.51,1083.11,1097.5,531912000
