Date,Open,High,Low,Close,Volume
2015-05-07,2079.96,2092.9,2074.99,2088,523758356
2015-05-08,2092.13,2117.66,2092.13,2116.1,524517688
2015-05-11,2115.56,2117.69,2104.58,2105.33,467022504
2015-05-12,2102.87,2105.06,2085.57,2099.12,468682965
2015-05-13,2099.62,2110.19,2096.04,2098.48,473510272
2015-05-14,2100.43,2121.45,2100.43,2121.1,477949241
2015-05-15,2122.07,2123.89,2116.79,2122.73,609123759
2015-05-18,2121.3,2131.78,2120.01,2129.2,444239990
2015-05-19,2129.45,2133.02,2124.5,2127.83,493349176
2015-05-20,2127.79,2134.72,2122.59,2125.85,477723201
2015-05-21,2125.55,2134.28,2122.95,2130.82,468557139
2015-05-22,2130.36,2132.15,2126.06,2126.06,423419513
2015-05-26,2125.34,2125.34,2099.18,2104.2,557833108
2015-05-27,2105.13,2126.22,2105.13,2123.48,511248450
2015-05-28,2122.27,2122.27,2112.86,2120.79,434135669
2015-05-29,2120.66,2120.66,2104.89,2107.39,760129761
2015-06-01,2108.64,2119.15,2102.54,2111.73,488083175
2015-06-02,2110.41,2117.59,2099.14,2109.6,471166195
2015-06-03,2110.64,2121.92,2109.61,2114.07,464527279
2015-06-04,2112.35,2112.89,2093.23,2095.84,521557720
2015-06-05,2095.09,2100.99,2085.67,2092.83,559311850
2015-06-08,2092.34,2093.01,2079.11,2079.28,488323296
2015-06-09,2079.07,2085.62,2072.14,2080.15,488823113
2015-06-10,2081.12,2108.5,2081.12,2105.2,507555252
2015-06-11,2106.24,2115.02,2106.24,2108.86,529774046
2015-06-12,2107.43,2107.43,2091.33,2094.11,449503626
2015-06-15,2091.34,2091.34,2072.49,2084.43,504787125
2015-06-16,2084.26,2097.4,2082.1,2096.29,410710293
2015-06-17,2097.4,2106.79,2088.86,2100.44,480805890
2015-06-18,2101.58,2126.65,2101.58,2121.24,544428661
2015-06-19,2121.03,2121.64,2109.38,2109.99,181680815
2015-06-22,2112.5,2129.87,2112.5,2122.85,468228023
2015-06-23,2123.16,2128.03,2119.89,2124.2,453115170
2015-06-24,2123.33,2125.1,2108.58,2108.58,534019481
2015-06-25,2109.96,2116.04,2101.78,2102.31,494346810
2015-06-26,2102.62,2108.92,2095.38,2101.49,927539503
2015-06-29,2098.63,2098.63,2056.64,2057.64,586955148
2015-06-30,2061.19,2074.28,2056.32,2063.11,717671106
2015-07-01,2067,2082.78,2067,2077.42,531751257
2015-07-02,2078.03,2085.06,2071.02,2076.78,484440239
2015-07-06,2073.95,2078.61,2058.4,2068.76,586209073
2015-07-07,2069.52,2083.74,2044.02,2081.34,624382379
2015-07-08,2077.66,2077.66,2044.66,2046.68,372276830
2015-07-09,2049.73,2074.28,2049.73,2051.31,553570988
2015-07-10,2052.74,2081.31,2052.74,2076.62,487492213
2015-07-13,2080.03,2100.67,2080.03,2099.6,504047608
2015-07-14,2099.72,2111.98,2098.18,2108.95,501243649
2015-07-15,2109.01,2114.14,2102.49,2107.4,538810633
2015-07-16,2110.55,2124.42,2110.55,2124.29,531489666
2015-07-17,2126.8,2128.91,2119.88,2126.64,626055481
2015-07-20,2126.85,2132.82,2123.65,2128.28,498063871
2015-07-21,2127.55,2128.49,2115.4,2119.21,549092745
2015-07-22,2118.21,2118.51,2110,2114.15,604850316
2015-07-23,2114.16,2116.87,2098.63,2102.15,583756482
2015-07-24,2102.24,2106.01,2077.09,2079.65,622862924
2015-07-27,2078.19,2078.19,2063.52,2067.64,658424497
2015-07-28,2070.75,2095.6,2069.09,2093.25,612199117
2015-07-29,2094.7,2110.6,2094.08,2108.57,568110723
2015-07-30,2106.78,2110.48,2094.97,2108.63,505302182
2015-07-31,2111.6,2114.24,2102.07,2103.84,639716945
2015-08-03,2104.49,2105.7,2087.31,2098.04,546235777
2015-08-04,2097.68,2102.51,2088.6,2093.32,545885014
2015-08-05,2095.27,2112.66,2095.27,2099.84,580780772
2015-08-06,2100.75,2103.32,2075.53,2083.56,611690579
2015-08-07,2082.61,2082.61,2067.91,2077.57,529686686
2015-08-10,2080.98,2105.35,2080.98,2104.18,536952747
2015-08-11,2102.66,2102.66,2076.49,2084.07,562080936
2015-08-12,2081.1,2089.06,2052.09,2086.05,632320464
2015-08-13,2086.19,2092.93,2078.26,2083.39,502475309
2015-08-14,2083.15,2092.45,2080.61,2091.54,448636523
2015-08-17,2089.7,2102.87,2079.3,2102.44,426042175
2015-08-18,2101.99,2103.47,2094.14,2096.92,444211630
2015-08-19,2095.69,2096.17,2070.53,2079.61,571231726
2015-08-20,2076.61,2076.61,2035.73,2035.73,674625605
2015-08-21,2034.08,2034.08,1970.89,1970.89,1064386975
2015-08-24,1965.15,1965.15,1867.01,1893.21,259667692
2015-08-25,1898.08,1948.04,1867.08,1867.61,1051285330
2015-08-26,1872.75,1943.09,1872.75,1940.51,1028890548
2015-08-27,1942.77,1989.6,1942.77,1987.66,924279973
2015-08-28,1986.06,1993.48,1975.19,1988.87,723484652
2015-08-31,1986.73,1986.73,1965.98,1972.18,764741387
2015-09-01,1970.09,1970.09,1903.07,1913.85,870125463
2015-09-02,1916.52,1948.91,1916.52,1948.86,732830759
2015-09-03,1950.79,1975.01,1944.72,1951.13,632699986
2015-09-04,1947.76,1947.76,1911.21,1921.22,665450828
2015-09-08,1927.3,1970.42,1927.3,1969.41,683168139
2015-09-09,1971.45,1988.63,1937.88,1942.04,666981166
2015-09-10,1941.59,1965.29,1937.19,1952.29,668618889
2015-09-11,1951.45,1961.05,1939.19,1961.05,589037146
2015-09-14,1963.06,1963.06,1948.27,1953.03,546552646
2015-09-15,1955.1,1983.19,1954.3,1978.09,538205710
2015-09-16,1978.02,1997.26,1977.93,1995.31,592020686
2015-09-17,1995.33,2020.86,1986.73,1990.2,704674713
2015-09-18,1989.66,1989.66,1953.45,1958.03,787228057
2015-09-21,1960.84,1979.64,1955.8,1966.97,570775068
2015-09-22,1961.39,1961.39,1929.22,1942.74,692587353
2015-09-23,1943.24,1949.52,1932.57,1938.76,505058172
2015-09-24,1934.81,1937.17,1908.92,1932.24,715118376
2015-09-25,1935.93,1952.89,1921.5,1931.34,691099595
