date,death,illness,death_pos,death_v,death_a,illness_pos,illness_v,illness_a
2014-08-29,1553.0,3071.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-05,2105.0,3967.0,78.86,11.27,1.61,128.0,18.29,2.61
2014-09-08,2296.0,4293.0,63.67,-5.06,-5.44,108.67,-6.44,-8.24
2014-09-12,2226.0,4390.0,-17.5,-20.29,-3.81,24.25,-21.1,-3.66
2014-09-16,2461.0,4985.0,58.75,19.06,9.84,148.75,31.12,13.06
2014-09-18,2630.0,5347.0,84.5,12.88,-3.09,181.0,16.12,-7.5
2014-09-22,2811.0,5864.0,45.25,-9.81,-5.67,129.25,-12.94,-7.26
2014-09-24,2917.0,6263.0,53.0,3.88,6.85,199.5,35.12,24.03
2014-09-26,3091.0,6574.0,87.0,17.0,6.56,155.5,-22.0,-28.56
2014-10-01,3338.0,7178.0,49.4,-7.52,-4.9,120.8,-6.94,3.01
2014-10-03,3439.0,7492.0,50.5,0.55,4.04,157.0,18.1,12.52
2014-10-08,3865.0,8033.0,85.2,6.94,1.28,108.2,-9.76,-5.57
2014-10-10,4032.0,8399.0,83.5,-0.85,-3.9,183.0,37.4,23.58
2014-10-15,4493.0,8997.0,92.2,1.74,0.52,119.6,-12.68,-10.02
2014-10-17,4555.0,9216.0,31.0,-30.6,-16.17,109.5,-5.05,3.82
2014-10-22,4877.0,9936.0,64.4,6.68,7.46,144.0,6.9,2.39
2014-10-25,4922.0,10141.0,15.0,-16.47,-7.72,68.33,-25.22,-10.71
2014-10-29,4920.0,13703.0,-0.5,-3.88,3.15,890.5,205.54,57.69
2014-10-31,4951.0,13567.0,15.5,8.0,5.94,-68.0,-479.25,-342.4
2014-11-05,4818.0,13042.0,-26.6,-8.42,-3.28,-105.0,-7.4,94.37
2014-11-07,4960.0,13268.0,71.0,48.8,28.61,113.0,109.0,58.2
2014-11-12,5160.0,14098.0,40.0,-6.2,-11.0,166.0,10.6,-19.68
2014-11-14,5177.0,14413.0,8.5,-15.75,-4.78,157.5,-4.25,-7.42
2014-11-19,5420.0,15145.0,48.6,8.02,4.75,146.4,-2.22,0.41
2014-11-21,5459.0,15351.0,19.5,-14.55,-11.28,103.0,-21.7,-9.74
2014-11-26,5689.0,15935.0,46.0,5.3,3.97,116.8,2.76,4.89
2014-12-01,6002.0,16933.0,62.6,3.32,-0.4,199.6,16.56,2.76
2014-12-03,6070.0,17145.0,34.0,-14.3,-8.81,106.0,-46.8,-31.68
2014-12-10,6388.0,17942.0,45.43,1.63,2.28,113.86,1.12,6.85
2014-12-15,6856.0,18498.0,93.6,9.63,1.6,111.2,-0.53,-0.33
2014-12-17,6915.0,18603.0,29.5,-32.05,-20.84,52.5,-29.35,-14.41
2014-12-22,7533.0,19374.0,123.6,18.82,10.17,154.2,20.34,9.94
2014-12-23,7580.0,19465.0,47.0,-76.6,-95.42,91.0,-63.2,-83.54
2014-12-24,7588.0,19497.0,8.0,-39.0,37.6,32.0,-59.0,4.2
2014-12-26,7708.0,19729.0,60.0,26.0,32.5,116.0,42.0,50.5
2014-12-29,7857.0,20115.0,49.67,-3.44,-9.81,128.67,4.22,-12.59
2014-12-30,7894.0,20163.0,37.0,-12.67,-9.23,48.0,-80.67,-84.89
2014-12-31,7905.0,20205.0,11.0,-26.0,-13.33,42.0,-6.0,74.67
2015-01-02,8004.0,20415.0,49.5,19.25,22.62,105.0,31.5,18.75
2015-01-05,8168.0,20690.0,54.67,1.72,-5.84,91.67,-4.44,-11.98
2015-01-06,8235.0,20747.0,67.0,12.33,10.61,57.0,-34.67,-30.23
2015-01-07,8235.0,20747.0,0.0,-67.0,-79.33,0.0,-57.0,-22.33
2015-01-08,8265.0,20972.0,30.0,30.0,97.0,225.0,225.0,282.0
2015-01-09,8295.0,21086.0,30.0,0.0,-30.0,114.0,-111.0,-336.0
2015-01-12,8377.0,21171.0,27.33,-0.89,-0.3,28.33,-28.56,27.48
2015-01-13,8377.0,21171.0,0.0,-27.33,-26.44,0.0,-28.33,0.23
2015-01-14,8429.0,21296.0,52.0,52.0,79.33,125.0,125.0,153.33
2015-01-15,8459.0,21364.0,30.0,-22.0,-74.0,68.0,-57.0,-182.0
2015-01-16,8483.0,21408.0,24.0,-6.0,16.0,44.0,-24.0,33.0
2015-01-19,8609.0,21649.0,42.0,6.0,4.0,80.33,12.11,12.04
2015-01-20,8641.0,21724.0,32.0,-10.0,-16.0,75.0,-5.33,-17.44
2015-01-21,8641.0,21724.0,0.0,-32.0,-22.0,0.0,-75.0,-69.67
2015-01-22,8683.0,21794.0,42.0,42.0,74.0,70.0,70.0,145.0
2015-01-23,8690.0,21832.0,7.0,-35.0,-77.0,38.0,-32.0,-102.0
2015-01-26,8752.0,21959.0,20.67,4.56,13.19,42.33,1.44,11.15
2015-01-27,8810.0,22092.0,58.0,37.33,32.77,133.0,90.67,89.23
2015-01-28,8810.0,22092.0,0.0,-58.0,-95.33,0.0,-133.0,-223.67
2015-01-29,8833.0,22136.0,23.0,23.0,81.0,44.0,44.0,177.0
2015-01-30,8844.0,22159.0,11.0,-12.0,-35.0,23.0,-21.0,-65.0
2015-02-02,8936.0,22369.0,30.67,6.56,6.19,70.0,15.67,12.22
2015-02-03,8974.0,22479.0,38.0,7.33,0.77,110.0,40.0,24.33
2015-02-04,8981.0,22495.0,7.0,-31.0,-38.33,16.0,-94.0,-134.0
2015-02-05,8994.0,22522.0,13.0,6.0,37.0,27.0,11.0,105.0
2015-02-06,9019.0,22560.0,25.0,12.0,6.0,38.0,11.0,0.0
2015-02-10,9177.0,22894.0,39.5,3.62,-2.09,83.5,11.38,0.1
2015-02-11,9177.0,22894.0,0.0,-39.5,-43.12,0.0,-83.5,-94.88
2015-02-12,9209.0,22938.0,32.0,32.0,71.5,44.0,44.0,127.5
2015-02-13,9268.0,23034.0,59.0,27.0,-5.0,96.0,52.0,8.0
2015-02-16,9368.0,23217.0,33.33,-8.56,-11.85,61.0,-11.67,-21.22
2015-02-17,9380.0,23253.0,12.0,-21.33,-12.77,36.0,-25.0,-13.33
2015-02-18,9380.0,23253.0,0.0,-12.0,9.33,0.0,-36.0,-11.0
2015-02-19,9452.0,23401.0,72.0,72.0,84.0,148.0,148.0,184.0
2015-02-20,9457.0,23406.0,5.0,-67.0,-139.0,5.0,-143.0,-291.0
2015-02-23,9556.0,23574.0,33.0,9.33,25.44,56.0,17.0,53.33
2015-02-25,9604.0,23729.0,24.0,-4.5,-6.92,77.5,10.75,-3.12
2015-02-26,9652.0,23816.0,48.0,24.0,28.5,87.0,9.5,-1.25
2015-02-27,9675.0,23860.0,23.0,-25.0,-49.0,44.0,-43.0,-52.5
2015-03-02,9729.0,23948.0,18.0,-1.67,7.78,29.33,-4.89,12.7
2015-03-04,9729.0,23948.0,0.0,-9.0,-3.66,0.0,-14.66,-4.88
2015-03-05,9838.0,24018.0,109.0,109.0,118.0,70.0,70.0,84.66
2015-03-06,9855.0,24049.0,17.0,-92.0,-201.0,31.0,-39.0,-109.0
2015-03-10,9976.0,24282.0,30.25,3.31,23.83,58.25,6.81,11.45
2015-03-11,9976.0,24282.0,0.0,-30.25,-33.56,0.0,-58.25,-65.06
2015-03-12,10019.0,24385.0,43.0,43.0,73.25,103.0,103.0,161.25
2015-03-13,10111.0,24544.0,92.0,49.0,6.0,159.0,56.0,-47.0
2015-03-16,10159.0,24632.0,16.0,-25.33,-24.78,29.33,-43.22,-33.07
2015-03-17,10194.0,24701.0,35.0,19.0,44.33,69.0,39.67,82.89
2015-03-18,10194.0,24701.0,0.0,-35.0,-54.0,0.0,-69.0,-108.67
2015-03-20,10251.0,24788.0,28.5,14.25,24.62,43.5,21.75,45.38
2015-03-23,10314.0,24877.0,21.0,-2.5,-5.58,29.67,-4.61,-8.79
2015-03-24,10326.0,24907.0,12.0,-9.0,-6.5,30.0,0.33,4.94
2015-03-25,10326.0,24907.0,0.0,-12.0,-3.0,0.0,-30.0,-30.33
2015-03-26,10353.0,24962.0,27.0,27.0,39.0,55.0,55.0,85.0
2015-03-27,10365.0,24992.0,12.0,-15.0,-42.0,30.0,-25.0,-80.0
2015-04-07,10588.0,25551.0,20.27,0.75,1.43,50.82,1.89,2.44
2015-04-09,10599.0,25567.0,5.5,-7.38,-4.06,8.0,-21.41,-11.65
2015-04-13,10619.0,25626.0,5.0,-0.12,1.82,14.75,1.69,5.78
2015-04-14,10626.0,25646.0,7.0,2.0,2.12,20.0,5.25,3.56
2015-04-15,10704.0,25826.0,78.0,71.0,69.0,180.0,160.0,154.75
2015-04-16,10714.0,25866.0,10.0,-68.0,-139.0,40.0,-140.0,-300.0
2015-04-17,10717.0,25890.0,3.0,-7.0,61.0,24.0,-16.0,124.0
2015-04-20,10730.0,25898.0,4.33,0.44,2.48,2.67,-7.11,2.96
2015-04-21,10736.0,25907.0,6.0,1.67,1.23,9.0,6.33,13.44
2015-04-22,10823.0,26079.0,87.0,81.0,79.33,172.0,163.0,156.67
2015-04-23,10835.0,26109.0,12.0,-75.0,-156.0,30.0,-142.0,-305.0
2015-04-24,10839.0,26136.0,4.0,-8.0,67.0,27.0,-3.0,139.0
2015-04-27,10857.0,26194.0,6.0,0.67,2.89,19.33,-2.56,0.15
2015-04-28,10899.0,26312.0,42.0,36.0,35.33,118.0,98.67,101.23
2015-04-30,10905.0,26325.0,3.0,-19.5,-27.75,6.5,-55.75,-77.21
2015-05-01,10907.0,26333.0,2.0,-1.0,18.5,8.0,1.5,57.25
2015-05-04,10910.0,26374.0,1.0,-0.33,0.22,13.67,1.89,0.13
2015-05-05,10995.0,26571.0,85.0,84.0,84.33,197.0,183.33,181.44
2015-05-06,11020.0,26628.0,25.0,-60.0,-144.0,57.0,-140.0,-323.33
2015-05-07,11022.0,26661.0,2.0,-23.0,37.0,33.0,-24.0,116.0
2015-05-08,11022.0,26683.0,0.0,-2.0,21.0,22.0,-11.0,13.0
2015-05-11,11079.0,26757.0,19.0,6.33,2.78,24.67,0.89,3.96
2015-05-12,11080.0,26759.0,1.0,-18.0,-24.33,2.0,-22.67,-23.56
2015-05-13,11079.0,26757.0,-1.0,-2.0,16.0,-2.0,-4.0,18.67
2015-05-14,11087.0,26791.0,8.0,9.0,11.0,34.0,36.0,40.0
2015-05-15,11089.0,26799.0,2.0,-6.0,-15.0,8.0,-26.0,-62.0
2015-05-18,11132.0,26921.0,14.33,4.11,3.37,40.67,10.89,12.3
2015-05-19,11135.0,26969.0,3.0,-11.33,-15.44,48.0,7.33,-3.56
2015-05-20,11135.0,26969.0,0.0,-3.0,8.33,0.0,-48.0,-55.33
2015-05-21,11137.0,27007.0,2.0,2.0,5.0,38.0,38.0,86.0
2015-05-22,11140.0,27015.0,3.0,1.0,-1.0,8.0,-30.0,-68.0
2015-05-25,11147.0,27038.0,2.33,-0.22,-0.41,7.67,-0.11,9.96
