DISEASE,DATE,DEATHS,INFECTIONS,DEATH_PER_DAY_RATE,INFECTION_PER_DAY_RATE,DEATHS_PER_INFECTION
SARS,2003-03-12,,,,,
SARS,2003-03-13,,,,,
SARS,2003-03-14,,,,,
SARS,2003-03-17,,,,,
SARS,2003-03-18,,,,,
SARS,2003-03-19,,,,,
SARS,2003-03-20,,,,,
SARS,2003-03-21,,,,,
SARS,2003-03-24,,,,,
SARS,2003-03-25,,,,,
SARS,2003-03-26,,,,,
SARS,2003-03-27,,,,,
SARS,2003-03-28,,,,,
SARS,2003-03-31,,,,,
SARS,2003-04-01,,,,,
SARS,2003-04-02,,,,,
SARS,2003-04-03,,,,,
SARS,2003-04-04,,,,,
SARS,2003-04-07,,,,,
SARS,2003-04-08,,,,,
SARS,2003-04-09,,,,,
SARS,2003-04-10,,,,,
SARS,2003-04-11,,,,,
SARS,2003-04-14,,,,,
SARS,2003-04-15,,,,,
SARS,2003-04-16,,,,,
SARS,2003-04-17,,,,,
SARS,2003-04-21,,,,,
SARS,2003-04-22,,,,,
SARS,2003-04-23,,,,,
SARS,2003-04-24,,,,,
SARS,2003-04-25,,,,,
SARS,2003-04-28,,,,,
SARS,2003-04-29,,,,,
SARS,2003-04-30,,,,,
SARS,2003-05-01,,,,,
SARS,2003-05-02,,,,,
SARS,2003-05-05,,,,,
SARS,2003-05-06,,,,,
SARS,2003-05-07,,,,,
SARS,2003-05-08,,,,,
SARS,2003-05-09,,,,,
SARS,2003-05-12,,,,,
SARS,2003-05-13,,,,,
SARS,2003-05-14,,,,,
SARS,2003-05-15,,,,,
SARS,2003-05-16,,,,,
SARS,2003-05-19,,,,,
SARS,2003-05-20,,,,,
SARS,2003-05-21,,,,,
SARS,2003-05-22,,,,,
SARS,2003-05-23,,,,,
SARS,2003-05-27,,,,,
SARS,2003-05-28,,,,,
SARS,2003-05-29,,,,,
SARS,2003-05-30,,,,,
SARS,2003-06-02,,,,,
SARS,2003-06-03,,,,,
SARS,2003-06-04,,,,,
SARS,2003-06-05,,,,,
SARS,2003-06-06,,,,,
SARS,2003-06-09,,,,,
SARS,2003-06-10,,,,,
SARS,2003-06-11,,,,,
SARS,2003-06-12,,,,,
SARS,2003-06-13,,,,,
SARS,2003-06-16,,,,,
SARS,2003-06-17,,,,,
SARS,2003-06-18,,,,,
SARS,2003-06-19,,,,,
SARS,2003-06-20,,,,,
SARS,2003-06-23,,,,,
SARS,2003-06-24,,,,,
SARS,2003-06-25,,,,,
SARS,2003-06-26,,,,,
SARS,2003-06-27,,,,,
SARS,2003-06-30,,,,,
SARS,2003-07-01,,,,,
SARS,2003-07-02,,,,,
SARS,2003-07-03,,,,,
H1N1,2009-04-15,,,,,
H1N1,2009-04-16,,,,,
H1N1,2009-04-17,,,,,
H1N1,2009-04-20,,,,,
H1N1,2009-04-21,,,,,
H1N1,2009-04-22,,,,,
H1N1,2009-04-23,,,,,
H1N1,2009-04-24,,,,,
H1N1,2009-04-27,,,,,
H1N1,2009-04-28,,,,,
H1N1,2009-04-29,,,,,
H1N1,2009-04-30,,,,,
