date,illness,death,illness_pos,illness_v,illness_a,death_pos,death_v,death_a
2003-03-17,167,4,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-18,219,4,52.0,52.0,52.0,0.0,0.0,0.0
2003-03-19,264,9,45.0,-7.0,-59.0,5.0,5.0,5.0
2003-03-20,306,10,42.0,-3.0,4.0,1.0,-4.0,-9.0
2003-03-21,350,10,44.0,2.0,5.0,0.0,-1.0,3.0
2003-03-22,386,11,36.0,-8.0,-10.0,1.0,1.0,2.0
2003-03-24,456,17,35.0,-0.5,3.75,3.0,1.0,0.0
2003-03-25,487,17,31.0,-4.0,-3.5,0.0,-3.0,-4.0
2003-03-26,1323,49,836.0,805.0,809.0,32.0,32.0,35.0
2003-03-27,1408,53,85.0,-751.0,-1556.0,4.0,-28.0,-60.0
2003-03-28,1485,53,77.0,-8.0,743.0,0.0,-4.0,24.0
2003-03-29,1550,54,65.0,-12.0,-4.0,1.0,1.0,5.0
2003-03-31,1622,58,36.0,-14.5,-1.25,2.0,0.5,-0.25
2003-04-01,1804,62,182.0,146.0,160.5,4.0,2.0,1.5
2003-04-02,2223,78,419.0,237.0,91.0,16.0,12.0,10.0
2003-04-03,2270,79,47.0,-372.0,-609.0,1.0,-15.0,-27.0
2003-04-04,2353,84,83.0,36.0,408.0,5.0,4.0,19.0
2003-04-05,2416,84,63.0,-20.0,-56.0,0.0,-5.0,-9.0
2003-04-07,2601,98,92.5,14.75,17.38,7.0,3.5,4.25
2003-04-08,2671,103,70.0,-22.5,-37.25,5.0,-2.0,-5.5
2003-04-09,2722,106,51.0,-19.0,3.5,3.0,-2.0,0.0
2003-04-10,2781,111,59.0,8.0,27.0,5.0,2.0,4.0
2003-04-11,2890,116,109.0,50.0,42.0,5.0,0.0,-2.0
2003-04-12,2960,119,70.0,-39.0,-89.0,3.0,-2.0,-2.0
2003-04-14,3169,144,104.5,17.25,28.12,12.5,4.75,3.38
2003-04-15,3235,154,66.0,-38.5,-55.75,10.0,-2.5,-7.25
2003-04-16,3293,159,58.0,-8.0,30.5,5.0,-5.0,-2.5
2003-04-17,3389,165,96.0,38.0,46.0,6.0,1.0,6.0
2003-04-18,3547,182,158.0,62.0,24.0,17.0,11.0,10.0
2003-04-19,3547,182,0.0,-158.0,-220.0,0.0,-17.0,-28.0
2003-04-21,3861,217,157.0,78.5,118.25,17.5,8.75,12.88
2003-04-22,3947,229,86.0,-71.0,-149.5,12.0,-5.5,-14.25
2003-04-23,4288,251,341.0,255.0,326.0,22.0,10.0,15.5
2003-04-24,4439,263,151.0,-190.0,-445.0,12.0,-10.0,-20.0
2003-04-25,4649,274,210.0,59.0,249.0,11.0,-1.0,9.0
2003-04-26,4836,293,187.0,-23.0,-82.0,19.0,8.0,9.0
2003-04-28,5050,321,107.0,-40.0,-8.5,14.0,-2.5,-5.25
2003-04-29,5462,353,412.0,305.0,345.0,32.0,18.0,20.5
2003-04-30,5663,372,201.0,-211.0,-516.0,19.0,-13.0,-31.0
2003-05-01,5865,391,202.0,1.0,212.0,19.0,0.0,13.0
2003-05-02,6054,417,189.0,-13.0,-14.0,26.0,7.0,7.0
2003-05-03,6234,435,180.0,-9.0,4.0,18.0,-8.0,-15.0
2003-05-05,6583,461,174.5,-2.75,3.12,13.0,-2.5,2.75
2003-05-06,6727,478,144.0,-30.5,-27.75,17.0,4.0,6.5
2003-05-07,6903,495,176.0,32.0,62.5,17.0,0.0,-4.0
2003-05-08,7053,506,150.0,-26.0,-58.0,11.0,-6.0,-6.0
