,dates,headline,section_name,abstract
0,2016-02-16T19:15:07+0000,Second Sedition Arrest in India as Former Lecturer Is Held,World,The arrest came just days after the police charged a student union president under the same obscure colonial-era law.
1,2014-10-26T21:51:37+0000,"As Ebola Spreads, Asia Senses Vulnerability",World,Senior officials in China and India have been scrambling to prepare their countries' medical systems to cope with possible cases.
2,2015-06-05T01:00:24+0000,What You Need to Know About MERS,World,The outbreak of Middle East respiratory syndrome in South Korea has raised fears about the disease’s potential for further contagion.
3,2015-09-29T20:33:43+0000,Taliban Presence in Afghanistan,World,"The Taliban took the northern city of Kunduz on Monday after a year of advancing toward the area. It is the first major city to fall to their control since 2001, but the insurgents continue to attack other areas throughout rural Afghanistan."
4,2014-10-13T17:16:46+0000,Ambush by the Taliban Kills 14 in Afghan Forces,World,The attack is part of a violent campaign that has taken a serious toll on soldiers and police officers across Afghanistan in recent months.
5,2015-01-07T02:52:39+0000,Effort on Ebola Hurt W.H.O. Chief,World,"Critics of Margaret Chan have said she lets governments around the world steer the W.H.O. to fit their own needs, instead of firmly taking the helm as the world’s doctor in chief."
6,2015-08-18T15:00:17+0000,Afghan Vice President Raises Concerns by Turning to Militias in Taliban Fight,World,"Vice President Abdul Rashid Dostum, a former warlord, has rallied his old fighters to battle the Taliban, but some residents say his militia is just as dangerous."
7,2014-12-26T11:32:22+0000,2 Drone Strikes in Pakistan Are Said to Kill 9 Militant Suspects,World,"The strikes in the northwest were believed to have been carried out by American aircraft, a Pakistani security official said."
8,2015-07-28T13:29:11+0000,Taliban Make Gains Across 3 Provinces in Afghanistan,World,"Over 100 police officers and other security personnel in the north have surrendered to the militants in the campaign, and scores of others have retreated."
9,2014-10-13T12:46:13+0000,W.H.O. Chief Calls Ebola Outbreak a ‘Crisis for International Peace’,World,"The virus’s spread in West Africa is “unquestionably the most severe acute public health emergency in modern times,” said Dr. Margaret Chan, the body’s director general."
0,2016-03-29T06:08:11+0000,Editor Says He Is Resigning Over Media Controls in China,World,"An editor at Southern Metropolis Daily posted a message online saying he could no longer “follow your surname,” a reference to the Communist Party."
1,2015-03-25T18:35:36+0000,Pakistani Army Begins Offensive to Drive Militants From Tirah Valley,World,"Dozens of pro-Taliban militants and at least 16 soldiers have died in fighting in the Tirah Valley, on the border with Afghanistan, officials said."
2,2016-03-09T05:22:01+0000,"Taiwan and Hainan at Risk of Zika Spread, Scientist Warns",World,"The two islands both have populations of the Aedes aegypti mosquito, which is believed to be the main carrier of the virus."
3,2014-10-23T09:26:52+0000,A Banner on a Hong Kong Landmark Speaks of Democracy and Identity,World,"The group that unfurled the banner, calling for free elections, from a prominent feature of the Hong Kong landscape said it was drawing attention to how the city was not just about money but also about spirit."
4,2015-06-03T09:21:33+0000,Fears of MERS Virus Prompt Broadening of Cautions in South Korea,World,"Officials nearly doubled the number of quarantined people, temporarily closed over 700 kindergartens and schools, and refused to identify the hospitals where infections had been confirmed."
5,2015-12-09T21:38:33+0000,"In Beijing, a Day Off School for Smog Is No Fun for Anyone",World,"Millions of families grappled with the unexpected closing of schools across China’s capital, which left parents searching for day care options and students facing additional homework."
6,2015-04-28T19:17:11+0000,Afghan Troops Rush to Kunduz Amid Taliban Assault,World,"A battalion of the Afghan National Army was reportedly surrounded by insurgents, and the government stripped troops from other provinces to reinforce a vital northern trade hub."
7,2016-03-23T19:50:51+0000,Face-Off Between Strongmen Exposes Afghanistan’s Political Rifts,World,"In Balkh Province, a dispute over billboard portraits has reignited tension between two old rivals, the vice president and the provincial governor."
8,2015-09-30T03:56:14+0000,"More Than 14 Years After U.S. Invasion, the Taliban Control Large Parts of Afghanistan",World,At least one-fifth of the country is controlled or contested by the Taliban.
9,2015-09-02T17:05:21+0000,Masked Gunmen Kidnap 17 Turkish Workers in Baghdad,World,"The abduction of 17 Turkish workers and their Iraqi translator from a construction site was seen by officials as the work of a criminal gang, not Islamic State militants."
0,2014-11-03T09:31:42+0000,Programmers Deploy Cellphone Game to Support Hong Kong Protests,World,"A Hong Kong-based mobile software company has created an app that allows people to indulge in both gaming and an interest in all things Occupy, featuring protesters facing off against thugs, police officers with tear gas and pepper spray, anti-Occupy demonstrators wearing blue ribbons and a character who resembles the city’s chief executive, Leung Chun-ying."
1,2016-03-03T04:53:22+0000,"Dick Bradsell, Bartender Who Helped Revive London Cocktail Scene, Dies at 56",World,Mr. Bradsell’s influence was felt throughout Britain and as far away as Australia thanks to bartenders trained by him or inspired by his creations.
2,2014-12-09T14:54:51+0000,Protesters and Police Clash Amid Vote in Northern India,World,"The third phase of voting in Jammu and Kashmir State, in contrast with the first two, was marked by a familiar pattern of limited turnout and stone-throwing."
3,2014-12-16T01:05:58+0000,A Plan to Limit Cars in Paris Collides With French Politics ,World,"The mayor of Paris, Anne Hidalgo, has proposed banning high-emission vehicles, particularly those that run on diesel, in the city’s center by 2020."
4,2016-02-24T22:47:50+0000,Labor Unrest Stirs in Russia as an Economic Chill Sets In,World,"In Nizhny Tagil, a city in the Ural Mountains, thousands of factory workers who once rallied behind Vladimir V. Putin in his campaign for the presidency now face idle assembly lines."
5,2015-09-17T15:00:41+0000,"Norway Again Embraces the Vikings, Minus the Violence",World,"“Rape and pillage are not part of the curriculum,” said the director of a government-funded course on how to live like a Norse warrior, though image redemption is."
6,2015-04-24T09:21:42+0000,Q. and A.: Henry Paulson on ‘Dealing With China’,World,"The former Treasury secretary talks about his new book, “Dealing With China,” and why the United States-China relationship matters."
7,2015-03-22T14:16:51+0000,1940: Passenger Who Didn’t Pay Fares Because of Tobacco Is Sued,World,Highlight from the International Herald Tribune archives: A woman refused to pay rail fares in 1940 because other passengers were smoking.
8,2015-11-11T14:30:22+0000,A City Choking on Cars Hopes Commuters Will Return to Two Wheels,World,"Facing pollution and traffic concerns, Beijing is proposing steps to encourage bicycling, re-embracing what has long been an integral part of China’s culture."
