Date,SP500_Close,XLY_Close,XLP_Close,XLE_Close,XLF_Close,XLV_Close,XLI_Close,XLB_Close,XLK_Close,XLU_Close,SP_change,SP_percent
3/3/2014,1845.73,66.21,42.12,87.09,17.48,59,51.71,46.97,35.96,40.05,,
3/4/2014,1873.91,67.04,42.69,88.04,17.84,60.12,52.46,47.71,36.43,40.34,2%,498
3/5/2014,1873.81,67.32,42.55,87.22,18.03,59.97,52.53,47.82,36.48,40.07,0%,247
3/6/2014,1877.03,67.49,42.54,87.85,18.08,59.6,52.83,48,36.53,39.87,0%,307
3/7/2014,1878.04,67.39,42.66,88.02,18.17,59.45,53,47.79,36.42,39.99,0%,267
3/10/2014,1877.17,67.21,42.7,88.16,18.17,59.7,52.77,47.75,36.36,39.89,0%,225
3/11/2014,1867.63,66.82,42.68,87.16,18.05,59.58,52.39,47.26,36.28,39.78,-1%,116
3/12/2014,1868.2,66.72,42.77,87.17,18.02,59.57,52.29,47.24,36.34,40.28,0%,260
3/13/2014,1846.34,65.91,42.56,86.3,17.82,58.76,51.55,46.9,35.85,40.7,-1%,48
3/14/2014,1841.13,65.85,42.58,86.38,17.7,58.44,51.35,46.9,35.63,40.89,0%,157
3/17/2014,1858.83,66.29,42.83,86.84,17.89,59.01,51.98,47.28,36.05,41.16,1%,452
3/18/2014,1872.25,66.58,42.92,87.57,17.98,59.64,52.26,47.55,36.52,41.1,1%,430
3/19/2014,1860.77,66.14,42.59,86.91,17.97,59.46,51.72,47.13,36.37,40.45,-1%,104
3/20/2014,1872.01,66.31,42.74,87.25,18.25,59.46,51.87,47.76,36.65,40.54,1%,413
3/21/2014,1866.4,65.68,42.5,87.06,18.19,58.18,51.65,47.37,36.31,40.51,0%,150
3/24/2014,1857.44,65.02,42.46,86.88,18.18,57.53,51.48,47,36.28,40.62,0%,121
3/25/2014,1865.62,64.63,42.77,87.66,18.17,58.04,51.95,47.26,36.5,40.79,0%,372
3/26/2014,1852.56,64.11,42.67,87.25,17.98,58.06,51.42,46.58,36.06,40.62,-1%,90
3/27/2014,1849.04,63.8,42.64,87.96,17.88,57.93,51.35,46.45,35.93,40.95,0%,180
3/28/2014,1857.62,64.28,42.75,89.06,17.95,57.71,51.73,46.77,36.07,41.01,0%,383
3/31/2014,1872.34,64.72,43.06,89.06,18.14,58.49,52.33,47.28,36.35,41.46,1%,437
4/1/2014,1885.52,65.62,42.99,89.59,18.17,58.86,52.7,47.54,36.78,41.17,1%,427
4/2/2014,1890.9,66.06,43.04,89.91,18.21,59.12,53.07,47.89,36.8,41.11,0%,339
