Date,SP500_Close,XLY_Close,XLP_Close,XLE_Close,XLF_Close,XLV_Close,XLI_Close,XLB_Close,XLK_Close,XLU_Close,sp500_CHANGE,SP_rank
5/7/2015,2088,75.79,48.76,80.44,19.82,72.28,55.92,50.76,42.42,43.72,,
5/8/2015,2116.1,76.6,49.17,81.76,20.11,73.45,56.58,51.57,43.03,44.03,1.35%,574
5/11/2015,2105.33,76.26,48.97,80.22,20.03,73.49,56.53,51.33,42.81,43.73,-0.51%,99
5/12/2015,2099.12,76.12,48.86,80.59,19.96,73.02,56.47,50.79,42.58,43.68,-0.29%,141
5/13/2015,2098.48,75.64,48.84,80.38,19.97,73.1,56.59,50.73,42.76,43.25,-0.03%,271
5/14/2015,2121.1,75.98,49.59,80.35,20.15,74.11,57.16,51.26,43.45,43.75,1.08%,555
5/15/2015,2122.73,76.59,49.75,80.67,20.06,74.26,57.11,51.51,43.31,44.32,0.08%,335
5/18/2015,2129.2,76.88,49.59,80.74,20.17,74.7,57.22,51.28,43.52,44.49,0.30%,424
5/19/2015,2127.83,76.86,49.46,79.59,20.29,75.05,57.06,51.03,43.41,44.59,-0.06%,256
5/20/2015,2125.85,76.77,49.35,79.74,20.23,75.15,56.85,51,43.44,44.66,-0.09%,237
5/21/2015,2130.82,77.07,49.46,80.49,20.18,75.16,57.16,51.18,43.63,44.64,0.23%,408
5/22/2015,2126.06,76.94,49.25,80.2,20.19,74.98,56.9,51.12,43.6,44.57,-0.22%,164
5/26/2015,2104.2,76.39,48.86,78.93,19.96,74.22,56.28,50.48,42.97,44.29,-1.03%,46
5/27/2015,2123.48,76.96,49.17,78.79,20.18,75.08,56.64,50.81,43.78,44.47,0.92%,543
5/28/2015,2120.79,76.83,49.1,78.48,20.16,75.13,56.37,50.94,43.69,44.57,-0.13%,210
5/29/2015,2107.39,76.3,48.79,78.39,19.98,74.94,55.81,50.61,43.37,44.5,-0.63%,86
6/1/2015,2111.73,76.52,48.79,78.19,19.99,75.24,56.06,50.63,43.49,44.56,0.21%,401
6/2/2015,2109.6,76.69,48.66,78.73,20.03,74.75,56.17,50.79,43.4,43.97,-0.10%,229
6/3/2015,2114.07,77.29,48.63,78.19,20.2,74.89,56.45,50.84,43.49,43.32,0.21%,401
6/4/2015,2095.84,76.74,48.28,77.13,20.02,74.37,55.82,50.24,43.09,43.26,-0.86%,58
6/5/2015,2092.83,76.52,47.59,77.67,20.13,74.34,55.86,50.01,42.95,42.72,-0.14%,202
6/8/2015,2079.28,75.98,47.57,77.23,20.01,73.97,55.45,49.83,42.47,42.47,-0.65%,81
6/9/2015,2080.15,75.9,47.8,77.22,20.06,73.95,55.44,49.86,42.37,42.37,0.04%,311
6/10/2015,2105.2,76.68,48.27,78.17,20.34,74.86,55.99,50.38,43.03,42.58,1.20%,565
6/11/2015,2108.86,76.94,48.25,77.82,20.42,75.37,56.31,50.5,43.05,42.92,0.17%,379
6/12/2015,2094.11,76.59,48.06,76.95,20.33,74.44,55.98,50.2,42.67,42.54,-0.70%,74
6/15/2015,2084.43,76.23,47.71,76.77,20.24,74.53,55.51,49.89,42.41,42.47,-0.46%,105
6/16/2015,2096.29,76.69,48.23,77.37,20.36,74.9,55.56,50.15,42.69,42.67,0.57%,493
6/17/2015,2100.44,77.04,48.49,77.18,20.33,74.97,55.71,50.36,42.71,43.03,0.20%,394
6/18/2015,2121.24,77.97,49.03,77.13,20.52,76.03,56.27,50.78,43.09,43.6,0.99%,546
6/19/2015,2109.99,77.45,48.66,75.91,20.09,75.71,55.72,50.21,42.54,42.79,-0.53%,95
6/22/2015,2122.85,77.88,48.85,76.84,20.4,76.3,56.06,50.4,42.89,42.73,0.61%,502
