,dates,headline,section_name,abstract
0,2016-05-17T14:43:49+0000,"On Visit to Hong Kong, Beijing Official Draws Protest",World,"Zhang Dejiang, a member of the Politburo Standing Committee, is remembered by many for attempting to cover up the 2003 SARS outbreak."
1,2017-08-06T20:16:32+0000,"Joint Taliban-ISIS Attack Kills Dozens, Afghan Officials Say",World,Officials said as many as 50 people died when the Taliban and a commander claiming ties to the Islamic State overran an area in the north. A Taliban spokesman denied any cooperation with ISIS.
2,2016-08-30T09:50:49+0000,Singapore Says It Expects More Zika Cases,World,"With 82 confirmed cases as of Tuesday and thousands of premises to be inspected, health authorities said they will likely find more infections."
3,2016-12-16T13:40:58+0000,"Beijing, Bracing for 5 Days of Heavy Pollution, Issues Red Alert",World,The most severe notice in a four-tier system requires schools to close and half of all privately owned cars to stay off the roads.
4,2017-02-18T16:51:55+0000,China Fights Spread of Deadly Avian Virus,World,"As of Friday, health officials confirmed eight deaths and 77 diagnosed cases just in February, according to Xinhua, the state news agency."
5,2016-03-29T06:08:11+0000,Editor Says He Is Resigning Over Media Controls in China,World,"An editor at Southern Metropolis Daily posted a message online saying he could no longer “follow your surname,” a reference to the Communist Party."
6,2016-03-09T05:22:01+0000,"Taiwan and Hainan at Risk of Zika Spread, Scientist Warns",World,"The two islands both have populations of the Aedes aegypti mosquito, which is believed to be the main carrier of the virus."
7,2016-06-22T20:42:50+0000,"Amjad Sabri, Famed Sufi Singer, Is Gunned Down in Pakistan",World,"Mr. Sabri, a prominent singer of Sufi devotional songs, had been named in a blasphemy case, and a wing of the Pakistani Taliban made an unconfirmed claim of responsibility in the killing."
8,2016-11-22T11:12:03+0000,"Zika Looms in Asia, Tempered by a Fuller View of Its Dangers",World,The Zika scare in Latin America has prompted a recent surge in awareness and monitoring of the virus in Asia.
9,2016-10-16T17:29:32+0000,Settlement Debate Flares Again in Israel’s Quarrel With Rights Group,World,A fierce exchange between the government and the human rights group B’Tselem has touched on arguments over patriotism and the character of Israel.
0,2017-05-08T16:22:36+0000,"Blocked by China, Taiwan Presses to Join U.N. Agency’s Meeting",World,Taiwan’s president and ministers want the self-ruled island to have observer status at the World Health Assembly’s annual meeting in Geneva.
1,2016-04-20T21:00:07+0000,"3 Other Mothers, My Intimate Network",World,"For a mother in a demanding profession, allomothers, other mothers who help raise the children, are vital. China is a good place to find them."
2,2016-07-01T10:51:50+0000,"Citing Safety, Bookseller Pulls Out of Hong Kong Pro-Democracy March",World,"Lam Wing-kee had indicated that he had been followed over the previous two days by people he did not recognize, an official said."
3,2017-09-09T18:30:06+0000,"Ex-Inmate Takes to Hong Kong’s Airwaves, and Prisoners Tune In",World,"Bruce Aitken, a convicted money launderer, sees his radio outreach to prisoners and their families as his “own personal penance.”"
4,2017-02-13T18:39:33+0000,Mob Kills Eloped Lovers After Storming Afghan Police Station,World,"Fleeing an arranged marriage, the couple were shot to death by family members in what is often called an honor killing. There have been no arrests."
5,2017-08-21T11:30:32+0000,"As Trump Rolls Out War Plan, Taliban Are Gaining",World,"As Taliban insurgents overrun more districts, and kill an average 31 soldiers a day, will a few thousand more troops prevail in Afghanistan?"
6,2016-03-23T19:50:51+0000,Face-Off Between Strongmen Exposes Afghanistan’s Political Rifts,World,"In Balkh Province, a dispute over billboard portraits has reignited tension between two old rivals, the vice president and the provincial governor."
7,2017-07-01T08:42:17+0000,"Xi Delivers Tough Speech on Hong Kong, as Protests Mark Handover Anniversary",World,"The Chinese president warned against challenging Beijing’s rule, a jarring contrast with protests later in the day."
8,2016-04-18T09:00:07+0000,China’s Vaccine Scandal Threatens Public Faith in Immunizations,World,"The news that millions of faulty vaccines were given to children has reignited a widespread, often visceral distrust of China’s medical system."
9,2016-10-11T00:10:18+0000,Car Attacks in Denmark Spread ‘Like an Infection’,World,"Nearly 190 cars have been set ablaze in Copenhagen this year, a violent outburst that is upsetting a country that prides itself on its social harmony."
0,2016-05-18T11:46:31+0000,China Finds Its Global Ambitions Humbled in Its Own Backyard,World,"Pro-democracy demonstrators protest a Chinese official visiting Hong Kong, while Taiwan prepares to inaugurate a president wary of Beijing’s influence."
1,2017-04-08T15:39:25+0000,"Afghan Security Reforms Falter, With Tough Fighting Ahead",World,American and NATO leaders are growing increasingly frustrated with the slow pace of security reforms they see as necessary to battle the insurgency.
2,2016-04-25T00:07:56+0000,Past and Present Collide in Far Corner of China,World,"A sliver of land on the rim of the Himilayas is seeing new roads, telecommunications and commerce, a jarring shift for a once isolated people."
3,2016-05-11T12:07:00+0000,Scores Are Killed as a Wave of Bombings Bloodies Baghdad,World,"The most deadly attack, at a crowded market in the Sadr City district, was claimed by the Islamic State. Two more bombings were reported at police checkpoints in the capital."
4,2017-01-01T18:37:36+0000,Tragedy Transcends Borders,World,"News of a shooting that killed and injured scores, many of them foreigners, at an Istanbul nightclub in the early hours of New Year’s Day shook residents as well as victims’ families far beyond Turkey."
5,2016-11-02T12:40:29+0000,Europe’s Mosquito-Free Island Paradise: Iceland,World,"No one knows for sure why mosquitoes have never spread to Iceland. If climate is the reason, look out: It’s changing."
