Date,Open,High,Low,Close,Volume
2014-03-03,1857.68,1857.68,1834.44,1845.73,498448768
2014-03-04,1849.23,1876.23,1849.23,1873.91,544430336
2014-03-05,1874.05,1876.53,1871.11,1873.81,482063616
2014-03-06,1874.18,1881.94,1874.18,1877.03,498552704
2014-03-07,1878.52,1883.57,1870.56,1878.04,497019936
2014-03-10,1877.86,1877.87,1867.04,1877.17,430730688
2014-03-11,1878.26,1882.35,1863.88,1867.63,442974144
2014-03-12,1866.15,1868.38,1854.38,1868.2,449356704
2014-03-13,1869.06,1874.4,1841.86,1846.34,512705472
2014-03-14,1845.07,1852.44,1839.57,1841.13,491435968
2014-03-17,1842.81,1862.3,1842.81,1858.83,452577696
2014-03-18,1858.92,1873.76,1858.92,1872.25,408679072
2014-03-19,1872.25,1874.14,1850.35,1860.77,499471264
2014-03-20,1860.09,1873.49,1854.63,1872.01,466686112
2014-03-21,1874.53,1883.97,1863.46,1866.4,467074272
2014-03-24,1867.67,1873.34,1849.69,1857.44,587997696
2014-03-25,1859.48,1871.87,1855.96,1865.62,491555168
2014-03-26,1867.09,1875.92,1852.56,1852.56,557786240
2014-03-27,1852.11,1855.55,1842.11,1849.04,582975808
2014-03-28,1850.07,1866.63,1850.07,1857.62,453530272
2014-03-31,1859.16,1875.18,1859.16,1872.34,577791232
2014-04-01,1873.96,1885.84,1873.96,1885.52,517284000
2014-04-02,1886.61,1893.17,1883.79,1890.9,464985888
2014-04-03,1891.43,1893.8,1882.65,1888.77,486754784
2014-04-04,1890.25,1897.28,1863.26,1865.09,638944640
2014-04-07,1863.92,1864.04,1841.48,1845.04,658198976
2014-04-08,1845.48,1854.95,1837.49,1851.96,552294976
2014-04-09,1852.64,1872.43,1852.38,1872.18,528252320
2014-04-10,1872.28,1872.53,1830.87,1833.08,636842176
2014-04-11,1830.65,1835.07,1814.36,1815.69,662168000
2014-04-14,1818.18,1834.19,1815.8,1830.61,524937984
2014-04-15,1831.45,1844.02,1816.29,1842.98,591081920
2014-04-16,1846.01,1862.31,1846.01,1862.31,536467008
