,dates,headline,section_name,abstract,Format_date,Tag
0,2003-07-31T05:00:00+0000,Toronto Turns On Rock to Drown Out SARS Fears,World,"Huge rock concert is held in Toronto, Ontario, organized in part by government with goal of proving to world that SARS no longer poses threat to those wanting to visit; when World Health Orgn issued travel advisories for Toronto, it prompted massive cancellations of conventions, concerts and vacations; more than 430,000 people crush into stadium to hear Rolling Stones, Rush and AC/DC perform; photo (M)",7/31/2003,
1,2003-07-06T05:00:00+0000,"SARS Declared Contained, With No Cases In Past 20 Days",World,"World Heath Organization declares SARS has been contained around world, with no new cases reported to agency by any nation since June 15; warns disease could still pose threat; removes Taiwan from its list of SARS-affected areas; SARS has infected 8,439 people in 30 nations and killed 812 people (M)",7/6/2003,
2,2003-07-03T05:00:00+0000,World Briefing | Americas: Canada: SARS All-Clear,World,"World Health Organization removes Toronto from its list of SARS infected regions, leaving only Taiwan on list; Toronto, originally taken off list in May, was put back on after new cluster of victims surfaced; 38 people have died in Toronto area and 11 individuals remain in critical or deteriorating condition (S)",7/3/2003,
3,2003-06-26T05:00:00+0000,World Briefing | Asia: China: New Sars Case,World,China reports new case of SARS in Guangdong Province one day after World Health Organization lifts ban on travel to Beijing and declares country to have effectively controlled disease; patient was already under quarantine as suspected SARS case (S),6/26/2003,
4,2003-06-25T05:00:00+0000,"China Has Quelled SARS, World Health Agency Says",World,"World Health Organization declares that Beijing has effectively conquered SARS, prompting relief and celebration around city, where just a few weeks ago people stopped going to work, eating at restaurants or even leaving their homes for fear of catching disease; government officials hail suppression of SARS as victory for Communist Party leadership, seeking to gain public credibility even though official dissembling and inefficiency contributed to its rapid spread last winter (M)",6/25/2003,
5,2003-06-21T05:00:00+0000,"Isolation, an Old Medical Tool, Has SARS Fading",World,"Mystery virus SARS, which three months ago seemed poised to become worldwide epidemic, reportedly is disappearing almost as quickly and as unpredictably as it arrived; World Health Organization declares virus under control, with only handful of cases worldwide; health officials and infectious disease experts are racing to learn what they can from sudden rise and retreat of SARS, what caused its spread and strategies that succeeded in containing it; communicable diseases expert Dr Mike Ryan cites better infection controls in hospitals and early quarantining of infected individuals; graph; map; photo (M)",6/21/2003,
6,2003-06-18T05:00:00+0000,"As SARS Ebbs, W.H.O. Lifts Its Advisory On Taiwan",World,"WHO lifts advisory against travel to Taiwan, leaving Beijing as only place travelers are urged to avoid because of SARS risk; Taiwan has had five or fewer new cases every day this month (S)",6/18/2003,1
7,2003-06-17T05:00:00+0000,SARS Advisory Against Traveling to Taiwan Is Lifted,World,Beijing is now the only place that the World Health Organization is telling travelers to avoid because of the risk of SARS.,6/17/2003,
8,2003-07-01T05:00:00+0000,Analysts See Tension in China Within the Top Leadership,World,"China analysts say conflict between supporters of Pres Hu Jintao and predecessor Jiang Zemin exposes tensions within top leadership and makes it more difficult for new generation to put its stamp on politics; Jiang, 76, retains enormous political muscle by keeping allies in key posts and staying on as chairman of Central Military Commission; Hu, 60, solidifies his stature with strong handling of SARS epidemic, but has to navigate between liberal intellectuals calling bluntly for political change and Jiang allies, who fear instability and reportedly try to reverse trend toward government openness (M)",7/1/2003,
9,2003-06-14T05:00:00+0000,W.H.O. Lifts SARS Alert in China Regions,World,"World Health Organization removes travel advisory for four Chinese provinces, sign that SARS virus is slowly being contained; only Beijing and Taiwan still have warnings against all but essential travel (M)",6/14/2003,1
