,dates,headline,section_name,abstract,Date_format,Tag
0,2017-06-03T10:37:36+0000,India Acknowledges Three Cases of Zika Virus,World,"The government had kept quiet about the cases, hoping to avoid public panic, while stepping up testing and mosquito control efforts.",6/3/2017,
1,2016-02-06T20:10:48+0000,Zika virus,World,Zika virus,2/6/2016,
2,2016-02-03T19:05:22+0000,Understanding Zika,World,How dangerous is the virus and who is most at risk?,2/3/2016,
3,2016-08-30T16:31:30+0000,Zika Spreads in Singapore,World,"After Singapore's health ministry said on Tuesday that it had confirmed 82 cases of Zika infections, local residents and medical professionals weighed in on the risks of the virus.",8/30/2016,
4,2016-05-18T12:01:38+0000,Abortion in the Time of Zika,World,"Pregnant women face challenges in Brazil, where the Zika virus has compounded fears about birth defects and access to safe, legal abortions is severely restricted.",5/18/2016,
5,2016-03-09T07:59:31+0000,Born in the Time of Zika,World,A young Brazilian couple waited two years to begin their family. Then everything changed.,3/9/2016,
6,2016-01-21T21:09:47+0000,Brazilian President on Zika Virus,World,"President Dilma Rousseff of Brazil urged residents in the city of Recife to make an effort to fight the spread of the Zika virus, which is transmitted by the Aedes aegypti mosquito and is linked to severe brain damage in infants.",1/21/2016,
7,2016-02-02T21:41:45+0000,Brazilian Officials on the Zika Virus,World,"President Dilma Rousseff of Brazil said her government was working with the United States on a Zika virus vaccine, while other officials downplayed the threat to the 2016 Olympics in Rio de Janeiro.",2/2/2016,
8,2016-01-28T20:16:26+0000,Brazilians Face Zika's Effects,World,"Baby Joao was born with microcephaly, a condition characterized by a small head thought to be linked to the Zika virus. To fight the outbreak of the disease, Brazil needs money, some doctors say.",1/28/2016,
9,2016-03-09T15:17:40+0000,A Trail of Zika-Borne Anguish,World,"Once called a mystery disease, everyone in Brazil is aware of the Zika virus, which appears to cause microcephaly, or abnormally small heads, in babies.",3/9/2016,
0,2016-01-28T17:04:46+0000,W.H.O. Officials on Zika Outbreak,World,"Officials from the World Health Organization warned that the Zika virus was spreading ""explosively"" and called for an emergency meeting to address it.",1/28/2016,1
1,2016-07-25T23:48:02+0000,Colombia Declares End to the Zika Epidemic,World,The country is the first in South America to turn the tide on the disease.,7/25/2016,
2,2016-02-15T16:19:00+0000,Colombian President Gives Update on Zika,World,"President Juan Manuel Santos of Colombia confirmed that the country has not yet seen a case of microcephaly, but has recorded instances of Guillain-Barré syndrome, which is also said to be linked with Zika.",2/15/2016,
3,2016-01-29T04:48:55+0000,Latin America to Unite Against Zika,World,"President Juan Manuel Santos of Colombia announced that Latin American and Caribbean countries will come together to fight the Zika virus, with efforts such as fumigating against the disease-carrying mosquitos.",1/29/2016,
4,2016-02-01T22:50:23+0000,Australia to Begin Monitoring for Zika Virus,World,"Health officials in the northern part of Queensland and Papua New Guinea, to Australia’s north, have begun taking measures to guard against the virus.",2/1/2016,
5,2016-02-15T14:25:15+0000,Zika Virus in Colombia Presents Complicated Choice About Abortion,World,The illness appeared in the country too recently for most pregnant women who contracted it to determine the risk of birth defects.,2/15/2016,
6,2016-01-30T01:50:35+0000,Tears and Bewilderment in Brazilian City Facing Zika Crisis,World,The Zika epidemic has spread much faster than science’s understanding of it.,1/30/2016,
7,2016-02-05T18:38:23+0000,Scientists Find Zika in Saliva and Urine,World,"A Brazilian health institute found traces of the Zika virus in certain bodily fluids of two patients, but said more research is needed to determine if the infection can be transmitted through the fluids.",2/5/2016,
8,2016-01-27T19:57:22+0000,São Paulo Residents on Zika Virus,World,São Paulo residents shared their fears about the spread of the Zika virus on Tuesday as the Brazilian government decided to deploy the army to kill mosquitoes in affected areas next month.,1/27/2016,
9,2016-09-02T17:20:33+0000,W.H.O.: Zika Is Public Health Emergency,World,The World Health Organization said that Zika outbreaks continue to be identified in new geographic regions. The agency also expects an increase in transmission rates in summer months.,9/2/2016,1
0,2016-02-01T19:36:56+0000,W.H.O. Declares Zika a Health Emergency,World,The World Health Organization declaration signals the seriousness of the Zika outbreak and gives countries powerful new tools to fight it.,2/1/2016,1
1,2016-01-25T16:59:45+0000,Zika Virus Seen as Growing Threat,World,"The mosquito-borne Zika virus, linked to brain damage of infants in Brazil, is likely to spread to most of the countries in the Americas, the World Health Organization announced on Monday.",1/25/2016,
2,2016-02-12T17:00:29+0000,W.H.O. Official on Zika Vaccine Plans,World,The World Health Organization said Friday that large-scale trials for a Zika virus vaccine were at least a year and a half away.,2/12/2016,1
3,2016-02-10T17:13:48+0000,Brazilians Shrug Off Zika Fears to Revel in Carnival Fun,World,"Many Brazilians feel they have more important things to worry about, including soaring unemployment, a plummeting currency and a corruption scandal.",2/10/2016,
4,2016-02-19T23:17:49+0000,"W.H.O. Advises Caution, but Not a Halt, in Blood Collection in Zika-Affected Areas",World,"With the virus rapidly spreading throughout Latin America and the Caribbean, it may be “logistically impossible” to import blood for all of the region, officials say.",2/19/2016,1
5,2016-01-23T23:43:22+0000,El Salvador Advises Against Pregnancy Until 2018 in Answer to Zika Fears,World,"The rapid spread of the mosquito-borne virus, which has been linked to a surge in malformed infants, has forced Latin America to take extreme health measures.",1/23/2016,
6,2016-04-15T01:25:31+0000,Colombia Reports First Cases of Microcephaly Linked to Zika Virus,World,"Though the two cases were the first confirmed in the country since the infection spread there, officials said they did not expect the birth defects to reach the same scale as in Brazil.",4/15/2016,
7,2016-02-18T17:50:48+0000,World Health Chief Issues Zika Warning,World,"Dr. Margaret Chan, the director general of the World Health Organization, said that nations need to invest in their health systems to combat the spread of the Zika virus.",2/18/2016,
8,2016-08-03T17:38:27+0000,"33 U.S. Service Members Have Contracted Zika, Pentagon Says",World,"Military officials said the disease had been found in men and women serving abroad, including a pregnant woman.",8/3/2016,
9,2016-01-28T21:02:49+0000,Researchers Weigh Risks of Zika Spreading at Rio Olympics,World,"Of the visitors expected to pour into Brazil in August, some may get infected by the mosquito-borne virus and then return home at a time of peak mosquito activity.",1/28/2016,
0,2016-08-30T09:50:49+0000,Singapore Says It Expects More Zika Cases,World,"With 82 confirmed cases as of Tuesday and thousands of premises to be inspected, health authorities said they will likely find more infections.",8/30/2016,
1,2016-02-02T21:06:06+0000,Australia Confirms 2 Cases of Zika Virus,World,"The two people were probably infected on a trip to Haiti, health officials said, and they have recovered.",2/2/2016,
2,2016-01-26T22:20:45+0000,Brazil Health Workers Battle Zika Virus,World,Health workers sprayed insecticide in the Sambadrome in Rio de Janeiro as part of a campaign to combat the mosquitoes that transmit the Zika virus.,1/26/2016,
3,2016-01-29T17:03:39+0000,Mayor Plays Down Zika Olympic Concerns,World,"Eduardo Paes, the mayor of Rio de Janeiro, said he did not believe the Zika virus outbreak would affect the Olympics in August.",1/29/2016,
4,2016-02-05T23:20:38+0000,"Brazil Finds Zika Virus in Human Urine and Saliva, but Risk Is Unclear",World,"Scientists warned that the virus might have the potential to spread through kissing and urine, a possibility that clouded the opening of Carnival.",2/5/2016,
5,2016-03-09T05:22:01+0000,"Taiwan and Hainan at Risk of Zika Spread, Scientist Warns",World,"The two islands both have populations of the Aedes aegypti mosquito, which is believed to be the main carrier of the virus.",3/9/2016,
6,2016-02-13T18:06:04+0000,Catholic Leaders Say Zika Doesn’t Change Ban on Contraception,World,"After a period of saying little, bishops in Latin America are beginning to speak up and reassert the church’s opposition to birth control and abortion.",2/13/2016,
7,2016-01-28T02:29:45+0000,Reports of Zika-Linked Birth Defect Rise in Brazil ,World,"Health authorities said reported cases of microcephaly — a condition in which newborns have abnormally small heads — had climbed to 4,180 since October. Brazil typically has 150 cases annually.",1/28/2016,
8,2016-03-10T03:37:05+0000,"Zika Vaccine Still Years Away, W.H.O. Says",World,"Despite efforts to speed up development, a vaccine to combat the virus may come too late for the current outbreak in Latin America and the Caribbean, health experts said.",3/10/2016,1
9,2016-02-03T18:00:19+0000,Surge of Zika Virus Has Brazilians Re-examining Strict Abortion Laws,World,Abortion rights activists are seizing on the crisis to push back against conservative lawmakers who want to toughen already stringent limits.,2/3/2016,
0,2016-01-26T01:18:05+0000,El Salvador’s Advice on Zika Virus: Don’t Have Babies,World,"Grappling with a mosquito-borne virus linked to brain damage in infants, El Salvador is advising all women in the country not to get pregnant until 2018.",1/26/2016,
1,2016-01-29T12:30:34+0000,Como o vírus Zika tem afetado você?,World,"O New York Times gostaria de ouvir a opinião de mulheres que deram à luz recentemente, que estejam grávidas ou planejando engravidar, e estão preocupadas com o vírus Zika.",1/29/2016,
2,2016-02-19T01:58:44+0000,Francis Says Contraception Can Be Used to Slow Zika,World,The pope’s remarks stirred up divisions in the leadership of the Roman Catholic Church in South America about whether birth control should be widely allowed.,2/19/2016,
3,2016-02-15T00:57:14+0000,Brazil Pushes Public to Do Its Part in Fighting Zika Spread,World,"Soldiers distributed fliers that told residents how to reduce the breeding grounds for Aedes aegypti, the mosquito that transmits Zika and other ills.",2/15/2016,
4,2016-05-18T12:00:04+0000,Brazil’s Abortion Restrictions Compound Challenge of Zika Virus,World,"Abortion is almost always a crime in Brazil, punishable by up to three years in jail, and there is no exception for defects caused by the Zika virus.",5/18/2016,
5,2016-02-10T20:47:41+0000,Experts Study Zika’s Path From First Outbreak in Pacific,World,"The virus, which has been around in Asia for decades, first hit hard on Yap Island, and spread across the Pacific, with a huge outbreak now in Brazil.",2/10/2016,
6,2016-11-22T11:12:03+0000,"Zika Looms in Asia, Tempered by a Fuller View of Its Dangers",World,The Zika scare in Latin America has prompted a recent surge in awareness and monitoring of the virus in Asia.,11/22/2016,
7,2016-03-10T04:02:00+0000,Brazil Adjusts Guidelines for Diagnosing Defect Linked to Zika,World,"Officials adopted stricter guidelines to determine when babies have been born with abnormally small heads, a step expected to reduce the number of false positives for microcephaly.",3/10/2016,
8,2016-07-26T00:23:07+0000,Woman With Zika Virus in Spain Gives Birth to Baby With Microcephaly,World,"The birth is probably the first case of its kind in Europe, according to the hospital in Barcelona where the infant was born.",7/26/2016,
9,2016-02-16T20:29:32+0000,Conspiracy Theories About Zika Spread Through Brazil With the Virus,World,"Rumors have replicated through social media and word of mouth, frustrating Brazilian officials as they grapple with a mysterious pathogen.",2/16/2016,
0,2016-05-18T13:45:20+0000,W.H.O. Cites Low to Moderate Risk of Zika’s Imminent Spread to Europe,World,"An assessment identified three areas — in Georgia, Russia and on the Portuguese island of Madeira — that are most vulnerable to a breakout.",5/18/2016,1
1,2016-01-26T21:00:18+0000,Brazil Will Deploy Troops to Spread Awareness of Zika Virus,World,"The move to deploy 220,000 troops for a day next month came as an official said the country was “badly losing the battle” against diseases like Zika.",1/26/2016,
2,2016-01-21T19:37:35+0000,Zika Virus May be Linked to Surge in Rare Syndrome in Brazil,World,"Brazilian officials said that Zika, a virus linked to brain damage in infants, may be causing an increase in the number of cases of Guillain-Barré, an autoimmune condition.",1/21/2016,
