Disease,Date,V_SP500_Close,V_SP500_Volume,SP500_Index_H/L,SP500_Bu/Be,SP500_Volatility,Death_H/M/L,Illness_H/M/L,News_H/M/L,Signal
EBOLA,2014-03-04,H,L,3,1.526767186966671,4.580301560900013,L,L,L,N
EBOLA,2014-03-05,L,L,1,-0.005336435581226873,-0.005336435581226873,L,L,L,N
EBOLA,2014-03-06,L,L,1,0.17184239597398676,0.17184239597398676,L,L,L,N
EBOLA,2014-03-07,L,L,1,0.05380841009468007,0.05380841009468007,L,L,L,N
EBOLA,2014-03-10,L,L,1,-0.046324891908577914,-0.046324891908577914,L,L,L,N
EBOLA,2014-03-11,L,L,1,-0.5082118295093085,-0.5082118295093085,L,L,L,N
EBOLA,2014-03-12,L,L,1,0.030519963804387373,0.030519963804387373,L,L,L,N
EBOLA,2014-03-13,H,L,3,-1.1701102665667595,-3.5103307997002786,L,L,L,N
EBOLA,2014-03-14,L,L,1,-0.28217988019539897,-0.28217988019539897,L,L,L,N
EBOLA,2014-03-17,H,L,3,0.9613661175473576,2.8840983526420727,L,L,L,N
EBOLA,2014-03-18,H,L,3,0.7219595121662481,2.1658785364987443,L,L,L,N
EBOLA,2014-03-19,L,L,1,-0.6131659767659281,-0.6131659767659281,L,L,L,N
EBOLA,2014-03-20,L,L,1,0.6040510111405606,0.6040510111405606,L,L,L,N
EBOLA,2014-03-21,L,L,1,-0.2996778863360694,-0.2996778863360694,L,L,L,N
EBOLA,2014-03-24,L,L,1,-0.4800685812258898,-0.4800685812258898,L,L,L,N
EBOLA,2014-03-25,L,L,1,0.4403910758893792,0.4403910758893792,L,L,L,N
EBOLA,2014-03-26,H,L,3,-0.7000353769792356,-2.1001061309377067,L,L,L,N
EBOLA,2014-03-27,L,L,1,-0.19000734119272167,-0.19000734119272167,L,L,L,N
EBOLA,2014-03-28,L,L,1,0.4640245749145455,0.4640245749145455,L,L,L,N
EBOLA,2014-03-31,H,L,3,0.7924117957386345,2.3772353872159036,L,L,L,N
EBOLA,2014-04-01,H,L,3,0.7039319781663611,2.1117959344990833,L,L,L,N
EBOLA,2014-04-02,L,L,1,0.2853324281895775,0.2853324281895775,L,L,L,N
EBOLA,2014-04-03,L,L,1,-0.11264477233063896,-0.11264477233063896,L,L,L,N
EBOLA,2014-04-04,H,L,3,-1.2537259698110481,-3.7611779094331443,L,L,L,N
EBOLA,2014-04-07,H,L,3,-1.0750151467221358,-3.2250454401664075,L,L,L,N
EBOLA,2014-04-08,L,L,1,0.3750596193036415,0.3750596193036415,L,L,L,N
EBOLA,2014-04-09,H,L,3,1.0918162379317087,3.275448713795126,L,L,L,N
EBOLA,2014-04-10,H,L,3,-2.0884743988291765,-6.2654231964875295,L,L,L,N
EBOLA,2014-04-11,H,L,3,-0.9486765443952216,-2.846029633185665,L,L,L,N
EBOLA,2014-04-14,H,L,3,0.8217261757238248,2.4651785271714743,L,L,L,N
EBOLA,2014-04-15,H,L,3,0.6757310404728489,2.027193121418547,L,L,L,N
EBOLA,2014-04-16,H,L,3,1.048844805695115,3.146534417085345,L,L,L,N
EBOLA,2014-04-17,L,L,1,0.13638975251166752,0.13638975251166752,L,L,L,N
EBOLA,2014-04-21,L,L,1,0.3775102555165333,0.3775102555165333,L,L,L,N
EBOLA,2014-04-22,L,L,1,0.4092120797696275,0.4092120797696275,L,L,L,N
EBOLA,2014-04-23,L,L,1,-0.22132957356812977,-0.22132957356812977,L,L,L,N
EBOLA,2014-04-24,L,L,1,0.17169762022830604,0.17169762022830604,L,L,L,N
EBOLA,2014-04-25,H,L,3,-0.8096411708656825,-2.4289235125970476,L,L,L,N
EBOLA,2014-04-28,L,L,1,0.323602017816893,0.323602017816893,L,L,L,N
EBOLA,2014-04-29,L,L,1,0.47608094445898974,0.47608094445898974,L,L,L,N
EBOLA,2014-04-30,L,L,1,0.29920195066894806,0.29920195066894806,L,L,L,N
EBOLA,2014-05-01,L,L,1,-0.014331590541150074,-0.014331590541150074,L,L,L,N
EBOLA,2014-05-02,L,L,1,-0.13484243608256063,-0.13484243608256063,L,L,L,N
EBOLA,2014-05-05,L,L,1,0.18712057582104258,0.18712057582104258,L,L,L,N
EBOLA,2014-05-06,H,L,3,-0.8988358642938232,-2.6965075928814697,L,L,L,N
EBOLA,2014-05-07,L,L,1,0.5616473561347535,0.5616473561347535,L,L,L,N
EBOLA,2014-05-08,L,L,1,-0.1373648314086262,-0.1373648314086262,L,L,L,N
EBOLA,2014-05-09,L,L,1,0.15194894515442314,0.15194894515442314,L,L,L,N
EBOLA,2014-05-12,H,L,3,0.9672714109279834,2.9018142327839502,L,L,L,N
EBOLA,2014-05-13,L,L,1,0.042179632509942167,0.042179632509942167,L,L,L,N
EBOLA,2014-05-14,L,L,1,-0.47010461408732995,-0.47010461408732995,L,L,L,N
EBOLA,2014-05-15,H,L,3,-0.9361778737960291,-2.8085336213880874,L,L,L,N
EBOLA,2014-05-16,L,L,1,0.37469599379960083,0.37469599379960083,L,L,L,N
EBOLA,2014-05-19,L,L,1,0.3844802061921504,0.3844802061921504,L,L,L,N
EBOLA,2014-05-20,L,L,1,-0.6498397945975731,-0.6498397945975731,L,L,L,N
EBOLA,2014-05-21,H,L,3,0.8116059653038521,2.4348178959115563,L,L,L,N
EBOLA,2014-05-22,L,L,1,0.2362250599831528,0.2362250599831528,L,L,L,N
EBOLA,2014-05-23,L,L,1,0.424837119350685,0.424837119350685,L,L,L,N
EBOLA,2014-05-27,L,L,1,0.5987803402208947,0.5987803402208947,L,L,L,N
EBOLA,2014-05-28,L,L,1,-0.11140691768964928,-0.11140691768964928,L,L,L,N
EBOLA,2014-05-29,L,L,1,0.5367110347788806,0.5367110347788806,L,L,L,N
EBOLA,2014-05-30,L,H,2,0.18437211918562735,0.3687442383712547,L,L,L,N
EBOLA,2014-06-02,L,L,1,0.07278133886472471,0.07278133886472471,L,L,L,N
EBOLA,2014-06-03,L,L,1,-0.03792266892471696,-0.03792266892471696,L,L,L,N
EBOLA,2014-06-04,L,L,1,0.189165592649565,0.189165592649565,L,L,L,N
EBOLA,2014-06-05,L,L,1,0.6525302404714051,0.6525302404714051,L,L,L,N
EBOLA,2014-06-06,L,L,1,0.46277686734073065,0.46277686734073065,L,L,L,N
EBOLA,2014-06-09,L,L,1,0.09387311227839756,0.09387311227839756,L,L,L,N
EBOLA,2014-06-10,L,L,1,-0.02459936349147318,-0.02459936349147318,L,L,L,N
EBOLA,2014-06-11,L,L,1,-0.35370285884179786,-0.35370285884179786,L,L,L,N
EBOLA,2014-06-12,H,L,3,-0.7088878485922656,-2.126663545776797,L,L,L,N
EBOLA,2014-06-13,L,L,1,0.3134536373574637,0.3134536373574637,L,L,L,N
EBOLA,2014-06-16,L,L,1,0.08367077101065767,0.08367077101065767,L,L,L,N
EBOLA,2014-06-17,L,L,1,0.21725892516177847,0.21725892516177847,L,L,L,N
EBOLA,2014-06-18,H,L,3,0.7718886297045868,2.3156658891137605,L,L,L,N
EBOLA,2014-06-19,L,L,1,0.12774785639098063,0.12774785639098063,L,L,L,N
EBOLA,2014-06-20,L,H,2,0.17300508298119244,0.3460101659623849,L,L,L,N
EBOLA,2014-06-23,L,H,2,-0.01324591032518807,-0.02649182065037614,L,L,L,N
EBOLA,2014-06-24,L,L,1,-0.6435308084642322,-0.6435308084642322,L,L,L,N
EBOLA,2014-06-25,L,L,1,0.48974861280628446,0.48974861280628446,L,L,L,N
EBOLA,2014-06-26,L,L,1,-0.11788541129760244,-0.11788541129760244,L,L,L,N
EBOLA,2014-06-27,L,H,2,0.19108735860047243,0.38217471720094487,L,L,L,N
EBOLA,2014-06-30,L,L,1,-0.03722666449086365,-0.03722666449086365,L,L,L,N
EBOLA,2014-07-01,H,L,3,0.6677787810614122,2.0033363431842366,L,L,L,N
EBOLA,2014-07-02,L,L,1,0.06587882350557184,0.06587882350557184,L,L,L,N
EBOLA,2014-07-03,L,L,1,0.5479535302995053,0.5479535302995053,L,L,L,N
EBOLA,2014-07-07,L,L,1,-0.3923563542590047,-0.3923563542590047,L,L,L,N
EBOLA,2014-07-08,H,L,3,-0.704877000480375,-2.114631001441125,L,L,L,N
EBOLA,2014-07-09,L,L,1,0.46442702843088046,0.46442702843088046,L,L,L,N
EBOLA,2014-07-10,L,L,1,-0.41311212826243837,-0.41311212826243837,L,L,L,N
EBOLA,2014-07-11,L,L,1,0.1470977461978551,0.1470977461978551,L,L,L,N
EBOLA,2014-07-14,L,L,1,0.48435379681535107,0.48435379681535107,L,L,L,N
EBOLA,2014-07-15,L,L,1,-0.19321228061301987,-0.19321228061301987,L,L,L,N
EBOLA,2014-07-16,L,L,1,0.42011270574879855,0.42011270574879855,L,L,L,N
EBOLA,2014-07-17,H,L,3,-1.1834050777918548,-3.5502152333755643,L,L,L,N
EBOLA,2014-07-18,H,L,3,1.026494801135791,3.079484403407373,L,L,L,N
EBOLA,2014-07-21,L,L,1,-0.23202677154209317,-0.23202677154209317,L,L,L,N
EBOLA,2014-07-22,L,L,1,0.5016137776584273,0.5016137776584273,L,L,L,N
EBOLA,2014-07-23,L,L,1,0.17544478782776096,0.17544478782776096,L,L,L,N
EBOLA,2014-07-24,L,L,1,0.048817066849182744,0.048817066849182744,L,L,L,N
EBOLA,2014-07-25,L,L,1,-0.48491433515428506,-0.48491433515428506,L,L,L,N
EBOLA,2014-07-28,L,L,1,0.028812034331826553,0.028812034331826553,L,L,L,N
EBOLA,2014-07-29,L,L,1,-0.45277450717819967,-0.45277450717819967,L,L,L,N
